name,date,location,species,accession
D_mel_Australia_2008_MH384336,2008,Australia,melanogaster,MH384336
D_mel_Australia_2008_MH384354,2008,Australia,melanogaster,MH384354
D_mel_Australia_2008_MH384361,2008,Australia,melanogaster,MH384361
D_mel_Australia_2008_MH384365,2008,Australia,melanogaster,MH384365
D_mel_Australia_2008_MH384373,2008,Australia,melanogaster,MH384373
D_mel_Australia_2008_MH384379,2008,Australia,melanogaster,MH384379
D_mel_Brazil_2019_fly12,2019,Brazil,melanogaster,D_mel_Brazil_2019_fly12
D_mel_Brazil_2019_fly4,2019,Brazil,melanogaster,D_mel_Brazil_2019_fly4
D_mel_Brazil_2019_fly5,2019,Brazil,melanogaster,D_mel_Brazil_2019_fly5
D_mel_Brazil_2019_fly6_rep1,2019,Brazil,melanogaster,D_mel_Brazil_2019_fly6_rep1
D_mel_Brazil_2019_fly6_rep2,2019,Brazil,melanogaster,D_mel_Brazil_2019_fly6_rep2
D_mel_California_USA_2000_SB2000_Capsid_Complete_CDS,2000,USA,melanogaster,D_mel_California_USA_2000
D_mel_Canada_Ontario_2010_PHDIP946_Capsid_Partial_CDS,2010,Canada,melanogaster,D_mel_Canada_Ontario_2010
D_mel_Colorado_USA_2016_rep1,2016,USA,melanogaster,D_mel_Colorado_USA_2016_rep1
D_mel_Colorado_USA_2016_rep2,2016,USA,melanogaster,D_mel_Colorado_USA_2016_rep2
D_mel_Colorado_USA_2017,2017,USA,melanogaster,D_mel_Colorado_USA_2017
D_mel_Colorado_USA_2018_rep1,2018,USA,melanogaster,D_mel_Colorado_USA_2018_rep1
D_mel_Colorado_USA_2018_rep2,2018,USA,melanogaster,D_mel_Colorado_USA_2018_rep2
D_mel_Colorado_USA_2019_compost_rep1,2019,USA,melanogaster,D_mel_Colorado_USA_2019_compost_rep1
D_mel_Colorado_USA_2019_compost_rep2,2019,USA,melanogaster,D_mel_Colorado_USA_2019_compost_rep2
D_mel_Colorado_USA_2019_kitchen,2019,USA,melanogaster,D_mel_Colorado_USA_2019_kitchen
D_mel_Colorado_USA_2020_AG_1_RNA_2,2020,USA,melanogaster,D_mel_Colorado_USA_2020_AG_1
D_mel_Colorado_USA_2020_TD_1_RNA_2,2020,USA,melanogaster,D_mel_Colorado_USA_2020_TD_1
D_mel_Colorado_USA_2020_TD_2_RNA_2,2020,USA,melanogaster,D_mel_Colorado_USA_2020_TD_2
D_mel_Colorado_USA_2020_TD_5_RNA_2,2020,USA,melanogaster,D_mel_Colorado_USA_2020_TD_5
D_mel_Colorado_USA_2020_TD_6_RNA_2,2020,USA,melanogaster,D_mel_Colorado_USA_2020_TD_6
D_mel_Colorado_USA_2021_LK_1_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_LK_1
D_mel_Colorado_USA_2021_LK_2_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_LK_2
D_mel_Colorado_USA_2021_LK_3_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_LK_3
D_mel_Colorado_USA_2021_LK_4_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_LK_4
D_mel_Colorado_USA_2021_LK_5_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_LK_5
D_mel_Colorado_USA_2021_LK_6_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_LK_6
D_mel_Colorado_USA_2021_MDS_C2_10_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_10
D_mel_Colorado_USA_2021_MDS_C2_11_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_11
D_mel_Colorado_USA_2021_MDS_C2_12_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_12
D_mel_Colorado_USA_2021_MDS_C2_13_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_13
D_mel_Colorado_USA_2021_MDS_C2_14_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_14
D_mel_Colorado_USA_2021_MDS_C2_15_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_15
D_mel_Colorado_USA_2021_MDS_C2_16_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_16
D_mel_Colorado_USA_2021_MDS_C2_17_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_17
D_mel_Colorado_USA_2021_MDS_C2_18_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_18
D_mel_Colorado_USA_2021_MDS_C2_19_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_19
D_mel_Colorado_USA_2021_MDS_C2_1_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_1
D_mel_Colorado_USA_2021_MDS_C2_20_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_20
D_mel_Colorado_USA_2021_MDS_C2_21_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_21
D_mel_Colorado_USA_2021_MDS_C2_2_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_2
D_mel_Colorado_USA_2021_MDS_C2_3_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_3
D_mel_Colorado_USA_2021_MDS_C2_4_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_4
D_mel_Colorado_USA_2021_MDS_C2_5_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_5
D_mel_Colorado_USA_2021_MDS_C2_6_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_6
D_mel_Colorado_USA_2021_MDS_C2_7_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_7
D_mel_Colorado_USA_2021_MDS_C2_8_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_8
D_mel_Colorado_USA_2021_MDS_C2_9_RNA_2,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_9
D_mel_Haiti_2018_fly_F13_,2018,Haiti,melanogaster,D_mel_Haiti_2018_fly_F13_
D_mel_Haiti_2018_fly_F5,2018,Haiti,melanogaster,D_mel_Haiti_2018_fly_F5
D_mel_Illinois_USA_1908_1004277_Capsid_complete_CDS,1908,USA,melanogaster,D_mel_Illinois_USA_1908
D_mel_Illinois_USA_1930_1004283_Capsid,1930,USA,melanogaster,D_mel_Illinois_USA_1930
