species,date_collected,weeks_dried,location,donating_institution,storage_type,extraction_method,RNA_concentration,260_280,260_230,galbut_virus_positive_qPCR,sample_id,I7_index,I5_index,sample_type,include_in_plots,R1_strand
melanogaster,1927,NA,"Albany, NY",New York State Museum,Dried,Destructive,21,1.92,2.02,N,Albany1927,IDT8_i7_213,IDT8_i5_213,Old_Collection,T,reverse
melanogaster,1930,NA,Illinois,Illinois Natural Histroy Survey,Dried,Non-Destructive,13.6,2.08,1.75,Y,1004283,IDT8_i7_239,IDT8_i5_239,Old_Collection,T,reverse
melanogaster,1942,NA,New Jersey,Illinois Natural Histroy Survey,Dried,Non-Destructive,10.2,1.9,1.41,N,1004278,IDT8_i7_234,IDT8_i5_234,Old_Collection,T,reverse
melanogaster,1950,NA,"Oahu, HI",University of Hawaii Insect Museum,Dried,Destructive,0,0.95,2.19,N,Oahu1950_1_mel,NA,NA,Old_Collection,T,reverse
melanogaster,1950,NA,"Oahu, HI",University of Hawaii Insect Museum,Dried,Destructive,0,0.24,0.24,N,Oahu1950_2_mel,NA,NA,Old_Collection,T,reverse
melanogaster,1951,NA,"Honolulu, HI",University of Hawaii Insect Museum,Dried,Destructive,0,1.38,0.65,N,Honolulu1951_1_mel,NA,NA,Old_Collection,T,reverse
melanogaster,1951,NA,"Oahu, HI",University of Hawaii Insect Museum,Dried,Destructive,0,1.49,1.3,N,Oahu1951_1_mel,NA,NA,Old_Collection,T,reverse
melanogaster,1952,NA,"Kauai, HI",University of Hawaii Insect Museum,Dried,Destructive,0,0.95,0.64,N,Kauai1952_1_mel,NA,NA,Old_Collection,T,reverse
melanogaster,1954,NA,"Kauai, HI",University of Hawaii Insect Museum,Dried,Destructive,0,1.09,1.94,Y,Kauai1954_1_mel,IDT8_i7_201,IDT8_i5_201,Old_Collection,T,reverse
melanogaster,1963,NA,"Lebanon Co, PA",Frost Entomolog Center- PSUC,Dried,Non-Destructive,66.4,2.12,2.13,N,Frost_03071963,IDT8_i7_222,IDT8_i5_222,Old_Collection,T,reverse
melanogaster,1963,NA,"Lebanon Co, PA",Frost Entomolog Center- PSUC,Dried,Non-Destructive,24.4,1.99,1.09,?,Frost_03211963_1,IDT8_i7_224,IDT8_i5_224,Old_Collection,T,reverse
melanogaster,1963,NA,"Lebanon Co, PA",Frost Entomolog Center- PSUC,Dried,Non-Destructive,84.6,2.09,1.77,N,Frost_03211963_2,IDT8_i7_223,IDT8_i5_223,Old_Collection,T,reverse
melanogaster,1963,NA,"Lebanon Co, PA",Frost Entomolog Center- PSUC,Dried,Non-Destructive,48,2.05,1.53,N,Frost_03271963,IDT8_i7_195,IDT8_i5_195,Old_Collection,T,reverse
melanogaster,1968,NA,"St. Cloud, MN","University of Minnesota, Insect Collection",Dried,Destructive,13,1.69,0.88,N,StCloud1968_1,IDT8_i7_209,IDT8_i5_209,Old_Collection,T,reverse
melanogaster,1969,NA,"St. Cloud, MN","University of Minnesota, Insect Collection",Dried,Destructive,38.6,2.03,2.12,N,StCloud1969_1,IDT8_i7_210,IDT8_i5_210,Old_Collection,T,reverse
melanogaster,1991,NA,"St. Cloud, MN","University of Minnesota, Insect Collection",Dried,Destructive,24.4,1.89,1.67,N,StCloud1991_1,IDT8_i7_211,IDT8_i5_211,Old_Collection,T,reverse
melanogaster,2000,NA,"Santa Barbara, CA",Santa Barbara Museum of Natural History,Dried,Destructive,55.4,2.03,1.57,?,SB_2000_mel_1,IDT8_i7_226,IDT8_i5_226,Old_Collection,T,reverse
melanogaster,2003,NA,"Lebanon Co, PA",Frost Entomolog Center- PSUC,Dried,Non-Destructive,71.2,2.15,2.29,N,Frost_4908,IDT8_i7_217,IDT8_i5_217,Old_Collection,T,reverse
melanogaster,2003,NA,"Lebanon Co, PA",Frost Entomolog Center- PSUC,Dried,Non-Destructive,13.9,2.05,1.71,N,Frost_4887,IDT8_i7_218,IDT8_i5_218,Old_Collection,T,reverse
melanogaster,2003,NA,"Lebanon Co, PA",Frost Entomolog Center- PSUC,Dried,Non-Destructive,42,2.04,0.9,N,Frost_5867,IDT8_i7_219,IDT8_i5_219,Old_Collection,T,reverse
melanogaster,2003,NA,"Lebanon Co, PA",Frost Entomolog Center- PSUC,Dried,Non-Destructive,120,2.15,2.37,N,Frost_5873,IDT8_i7_220,IDT8_i5_220,Old_Collection,T,reverse
melanogaster,2003,NA,"Lebanon Co, PA",Frost Entomolog Center- PSUC,Dried,Non-Destructive,25.6,2.1,1.74,N,Frost_5863,IDT8_i7_221,IDT8_i5_221,Old_Collection,T,reverse
melanogaster,2006,NA,"Davidson, NC",The Davidson College Entomology Collection,Dried,Destructive,19.6,2.01,2.23,N,Davidson2006_1,IDT8_i7_214,IDT8_i5_214,Old_Collection,T,reverse
