EL1: Electronic Ladder,A1: 4WkFrozen_F_2,B1: 4WkFrozen_F_3,C1: 8WkFrozen_F_2,D1: 8WkFrozen_F_3,E1: 12WkFrozen_F_2,F1: 12WkFrozen_F_3,G1: 16WkFrozen_F_2,H1: 16WkFrozen_F_3,A2: 20WkFrozen_F_2,B2: 20WkFrozen_F_3,C2: 24WkFrozen_F_2,D2: 24WkFrozen_F_3,E2: 36WkFrozen_F_2,F2: 36WkFrozen_F_3,G2: 48WkFrozen_F_2,H2: 48WkFrozen_F_3
0.2393465,0.05890989,0.08579469,0.2472355,0.1900713,0.181386,0.09724522,0.3333278,0.08021164,0.1165767,0.06545401,0.1126847,0.3033905,0,0,0.1938071,0
0.2078538,0.08373833,0,0.3010504,0.2195814,0.09068108,0,0.3454032,0.0667119,0.1539111,0.04467678,0.10606,0.2620478,0,0.02561474,0.1305766,0
0.1527991,0.1744547,0.02427769,0.2358944,0.2184002,0,0,0.2768316,0,0.1695795,0.0826354,0.03447008,0.2500501,0,0.08857155,0.08700514,0
0,0.2528746,0,0.2160738,0.2940199,0,0.01282835,0.2762799,0.005108833,0.1059251,0.02060223,0,0.2435288,0,0.2022319,0.03393507,0.04209518
0.02681494,0.2228637,0.05650663,0.1985652,0.3270714,0.01535273,0.07102203,0.1954703,0.04950571,0.03443909,0,0,0.2191038,0,0.1845007,0.1050186,0.09111404
0,0.2001123,0.0724287,0.1939948,0.2679756,0,0.1558089,0.2087803,0.08937311,0.02314615,0.0416069,0.04423094,0.2917275,0,0.3682079,0.1585593,0.1625023
0,0.1058488,0.05770969,0.2291677,0.1585677,0.01408958,0.2622952,0.2002482,0.1486545,0,0.04850578,0.1510539,0.2988472,0,0.3631516,0.1715684,0.2319202
0,0.05034614,0.01372504,0.2809961,0.0791204,0.1675773,0.2543092,0.2554097,0.1961374,0,0,0.223763,0.2443533,0.01141787,0.4003196,0.138835,0.2522788
0.004436493,0,0.002171278,0.2057383,0.02950287,0.2593932,0.3076735,0.2151971,0.2713208,0.05192041,0.0101366,0.2852287,0.2738271,0.1045876,0.3383837,0.1786952,0.2370901
0.1063318,0,0,0.1744678,0.06231928,0.2891726,0.282547,0.1295462,0.1899695,0.1081591,0.1026134,0.331131,0.2885275,0.1682534,0.2677007,0.1821651,0.2359576
0.03486204,0,0,0.08619046,0,0.2290821,0.2654796,0.0903883,0.1284013,0.1642056,0.1246667,0.2498474,0.2139726,0.2161527,0.2619653,0.1847153,0.1480956
0.07004738,0,0,0.08296418,0,0.1688628,0.1913576,0.0480113,0.1120448,0.3150592,0.1212835,0.193799,0.1871529,0.1973195,0.1750236,0.1403589,0.0799675
