EL1: Electronic Ladder,A1: 40WkFrozen_F_3
91.76865,304.867
95.54222,296.114
98.08273,286.2105
99.29156,274.1512
99.06339,261.2146
97.45181,247.9
94.50578,234.1611
90.77435,220.9278
86.22996,208.3029
80.70927,197.0049
74.90852,186.9587
68.94247,178.0895
62.84081,170.9083
56.55688,164.8512
50.46388,159.9781
44.74711,156.2787
39.44721,153.0638
34.87772,150.6134
30.95333,148.7007
27.34794,147.1025
24.55551,145.5477
22.37551,144.0258
20.65787,142.5836
19.16058,141.0263
18.21872,139.5795
17.438,138.054
16.86738,136.4557
16.64213,134.7545
16.57688,133.0918
16.45852,131.4499
16.46589,129.7844
16.63826,127.9806
16.67247,126.3122
16.84927,124.7704
17.22406,123.3539
17.14243,122.1292
17.43853,120.8844
17.82478,119.6021
17.96032,118.3943
18.25215,117.1892
18.41615,115.8151
18.5258,114.1702
18.76223,112.6252
19.05353,110.7842
19.16386,108.9766
19.16387,107.044
19.28988,104.9074
19.35769,102.6425
19.3758,100.4749
19.57454,98.20367
19.62598,95.68798
19.78218,93.28082
20.18354,91.04951
20.41926,88.72023
20.65388,86.70847
21.04916,84.68232
21.33175,82.8802
21.92436,81.21214
22.47783,79.80089
23.19967,78.48466
24.00547,77.16435
24.92137,76.30204
26.07762,75.46191
27.05424,74.54099
28.35841,73.96168
29.94373,73.49667
31.9086,72.92396
34.26385,72.41088
36.98215,72.01656
40.44484,71.89897
44.49338,71.88351
49.04794,71.98935
54.35099,72.145
60.32379,72.3662
67.59665,72.72691
76.28723,73.01835
86.51976,73.19771
97.90131,73.46111
110.6739,73.64484
125.2747,74.03333
140.65,74.44009
156.6973,74.75542
174.3146,75.28094
192.1764,75.67023
210.3529,76.12809
229.0379,76.47086
247.1249,76.72342
263.5541,76.85522
278.7838,76.88632
292.334,77.0098
303.5136,77.08177
312.692,77.25431
320.2479,77.3251
324.4709,77.48035
325.13,77.65235
321.8196,77.507
314.2173,77.46724
301.6001,77.43291
285.5716,77.33788
266.1414,77.25757
244.6514,77.20219
222.0472,77.09265
199.2599,76.96348
177.1982,76.84547
155.8681,76.53658
135.7902,76.0724
117.63,75.72424
101.3451,75.17168
87.3914,74.55614
75.58495,74.08369
65.88819,73.85389
58.11989,73.6488
52.0619,73.6322
47.68968,73.54839
44.34575,73.57069
41.65612,73.67754
39.66372,73.76424
38.28231,73.80935
36.87449,74.03869
35.83654,74.43018
34.94268,74.82224
34.24714,75.03534
33.63666,75.17674
33.13741,75.14999
32.5499,75.17599
31.83706,75.2884
31.33617,75.07314
30.74152,74.94604
30.1513,75.01355
29.65636,74.98358
29.13369,74.86275
29.03858,74.81797
28.80333,74.86433
28.68405,74.68925
28.53453,74.17518
28.3835,73.52475
28.41796,72.68679
28.3785,72.13396
28.49684,71.82848
28.68027,71.84917
28.8009,72.04106
29.15866,72.61263
29.19191,73.08717
29.2986,73.34702
29.56035,73.24355
29.79193,73.12373
29.99135,72.89936
30.35151,72.64874
30.71473,72.64162
31.33374,72.88349
31.8958,72.94276
32.6011,73.13297
33.20981,73.30186
34.07283,73.41376
35.05488,73.48583
36.04663,73.52461
36.83076,73.46429
37.98085,73.45499
39.08854,73.53461
40.44449,73.64057
41.66251,73.65075
43.2342,73.71643
44.89377,73.82105
46.91675,73.72842
48.89026,73.9113
51.3625,74.14292
55.00621,74.408
60.78937,74.72992
67.45579,74.97972
76.93469,75.20902
89.78162,75.18894
108.1065,75.19511
132.5022,75.0202
163.1454,74.83524
200.3711,74.7252
243.9467,74.59259
291.2039,74.52455
338.1341,74.18319
378.441,73.70409
410.5762,73.27682
429.4778,72.62216
434.5762,72.20944
424.2587,71.85907
401.0224,71.76734
367.8916,71.73895
328.8126,72.05351
286.2986,72.4961
243.6584,72.97861
203.4726,73.77346
168.3684,74.99275
138.6168,76.45499
115.0981,78.38984
96.43207,80.72982
83.11102,83.54257
73.37795,87.02687
66.56516,91.35547
61.43027,96.47031
57.54845,102.2639
54.54342,108.2044
52.24219,113.8261
50.74192,118.2194
49.5243,120.6056
48.23606,120.6719
47.05144,118.4635
45.9033,114.6577
44.80546,109.7326
43.8345,104.6565
42.99827,99.93616
41.84529,95.91727
41.15577,92.65796
40.62458,89.89993
40.24195,87.44097
40.09595,85.3877
40.08971,83.61207
40.16565,81.89516
40.27295,80.48457
40.27584,79.19455
40.3533,77.9711
39.90576,76.99918
39.52253,76.12797
39.328,75.18205
38.97767,74.12403
38.9377,73.29166
38.84604,72.37273
38.8927,71.17249
39.03972,70.10555
39.08849,68.85651
39.39025,67.69724
39.43625,66.82096
39.56673,66.13575
39.79207,65.33097
40.00423,64.673
40.51925,64.23729
40.74812,63.83583
41.04582,63.25534
41.44083,62.75653
41.66561,62.35339
41.9361,61.85123
42.04552,61.40703
42.30717,60.78061
42.51877,60.14493
43.29195,59.59532
44.16927,59.1799
44.80107,58.78894
45.88068,58.16512
47.22343,57.81696
48.34975,57.51044
49.37782,57.25468
50.39648,57.0687
51.83561,56.62116
52.99356,56.41656
54.57263,56.06335
56.20294,55.77421
58.65975,55.34904
61.24603,54.80794
64.48589,54.57045
69.39481,54.18568
75.40455,53.99129
82.90659,53.58886
92.90875,53.23376
105.8389,53.00625
124.8385,52.57974
152.2131,52.22749
188.503,51.95628
233.4973,51.51163
286.0728,51.31684
339.0046,50.9898
386.9084,50.83132
424.165,50.57138
445.8756,50.4861
450.1462,50.29072
438.2472,50.05853
412.7982,49.77916
377.4191,49.50321
337.5124,49.00606
295.9637,48.67763
253.5426,48.41393
215.4013,48.25365
181.458,48.23573
152.4125,48.1788
128.6558,48.12088
109.6806,48.06861
94.68867,47.70383
83.35398,47.38003
74.50935,46.92131
67.80062,46.4948
62.52628,45.98566
59.22767,45.64038
56.75893,45.34843
55.00687,44.99673
53.52545,44.86083
52.47616,44.67601
51.44522,44.38752
50.72421,44.17299
49.92419,43.93498
49.17576,43.5896
48.30043,43.09723
48.00196,42.74886
47.61724,42.23724
47.07895,41.66915
46.92889,41.19982
46.89749,40.6851
46.92075,40.3126
47.17645,39.98696
47.48476,39.80001
47.87957,39.45267
48.47378,39.18285
49.55062,38.97071
50.41106,38.75729
51.42236,38.56325
52.67937,38.32018
53.67337,38.21322
54.70521,38.17982
55.93967,38.05804
57.09141,37.79932
58.44881,37.3789
60.30965,36.88472
62.52384,36.31598
64.87007,35.74222
67.41753,35.217
69.9974,34.77606
72.6283,34.49381
74.83287,34.30093
76.90598,34.03582
78.17733,33.75352
79.09708,33.46544
79.85885,33.05925
80.00867,32.72735
80.23985,32.54714
79.97934,32.36047
80.12814,32.31377
80.21479,32.14803
80.91386,31.97295
81.86594,31.83984
83.06207,31.55498
85.35784,31.16597
88.39478,30.65919
92.76147,30.16663
100.2734,29.80593
111.2732,29.34917
129.5123,29.00171
159.4942,28.53008
202.4525,28.1399
258.2606,27.84443
319.0791,27.47854
380.6234,27.23897
434.3946,27.14263
474.1948,26.94556
496.6637,26.76449
499.2065,26.62302
485.083,26.41949
460.3896,26.04004
427.2648,25.65359
391.7967,25.17755
351.8622,24.72264
313.5379,24.48282
275.9799,24.30108
241.4358,24.04041
210.9331,23.86504
184.3872,23.88801
161.9705,23.79068
143.8161,23.7418
128.2083,23.54577
116.2876,23.18144
106.7961,22.87733
100.4204,22.69723
95.38192,22.47429
93.35226,22.27703
92.64267,22.08085
94.22371,21.87773
96.90433,21.61083
102.3827,21.31283
110.2861,21.07569
122.4735,20.81331
141.3798,20.72794
170.7986,20.69327
210.9362,20.61389
259.3776,20.32003
308.4174,19.95345
355.5263,19.592
393.5872,19.22965
419.0917,18.93832
428.2565,18.89563
422.171,18.76074
403.9083,18.76939
378.5743,18.89514
349.6916,18.88874
318.0304,18.67038
283.594,18.48716
251.2514,18.38086
219.5008,18.13535
189.4948,17.88569
161.8502,17.67755
137.637,17.32405
116.0849,17.14649
97.27939,16.8754
82.55047,16.53884
70.45276,16.13041
60.37433,15.87969
52.84796,15.73992
46.54646,15.59212
41.43076,15.54186
37.51205,15.72888
34.6571,15.87629
32.13435,16.33105
30.0269,16.4068
28.46075,16.29626
