EL1: Electronic Ladder,A1: 40Wk,B1: 44Wk,C1: 48Wk
11.68075,8.099217,15.62637,0
11.16488,9.186055,16.53616,0
10.84782,10.33249,17.42461,0
10.45394,11.6508,18.3339,0
10.1925,12.99013,19.30812,0
9.845958,14.47454,20.34796,0
9.430903,15.9874,21.12026,0
9.227633,17.4958,22.04333,0
8.951421,18.9577,23.03712,0
8.649407,20.49168,23.89299,0
8.43328,21.89267,24.7761,0
8.136649,23.46741,25.7592,0
7.748421,25.0459,26.86953,0
7.452363,26.71026,27.82628,0
7.086936,28.45394,28.8608,0.4868937
6.854991,30.36275,29.92048,1.465264
6.527324,32.3493,30.94193,2.587331
6.17592,34.24864,32.05565,3.52127
5.929846,36.12656,33.17731,4.449044
5.731161,37.92826,34.1984,5.574655
5.530811,39.84664,35.25379,6.715108
5.314283,41.81081,36.35627,7.917941
5.039759,43.77655,37.3879,9.275109
4.879637,45.78552,38.43318,10.73628
4.533747,47.98006,39.66928,12.28983
4.246821,50.21195,40.93978,13.94402
3.987095,52.43581,42.2234,15.63468
3.707324,54.61041,43.46821,17.266
3.459528,56.86716,44.71257,18.95191
3.27951,59.07646,46.08155,20.73672
3.214552,61.68435,47.44404,22.58804
3.010284,64.19199,48.70673,24.50176
3.008267,66.81852,50.08791,26.49373
2.798151,69.45581,51.69614,28.56305
2.634225,72.16024,53.30842,30.59482
2.382677,74.83173,54.89245,32.60581
2.227367,77.65888,56.48079,34.64152
2.095788,80.6002,58.16102,36.72716
1.843846,83.67731,59.84169,38.85048
1.697485,86.84373,61.66682,41.10582
1.858475,90.4267,63.44878,43.45466
1.811575,93.85609,65.32802,45.85915
1.964374,97.45772,67.50935,48.28786
1.901066,101.1221,69.71677,50.68028
1.778781,105.2052,72.01517,53.08966
1.556797,109.6514,74.47256,55.48136
1.403651,114.1953,77.02953,57.8566
1.308333,119.0364,79.66122,60.32101
1.10693,124.0351,82.37427,62.84515
1.049143,129.3186,85.18552,65.47713
1.241197,135.127,88.08215,68.16528
1.354727,141.1531,91.26711,70.91251
1.502384,147.681,94.73219,73.59177
1.519122,154.7369,98.54115,76.31374
1.324928,162.6743,102.6587,79.26318
1.076735,171.109,107.1383,82.1
0.9952097,180.2224,112.0531,84.93629
0.8940001,189.1765,117.0541,88.02849
0.725214,198.2327,122.4767,91.05697
0.6926012,208.0754,128.2482,94.07294
0.6888208,217.9694,134.2341,97.16178
0.7387056,227.7416,140.5678,100.306
0.8532467,237.8336,147.4064,103.48
0.7408857,247.7597,154.3335,106.9732
0.7472887,257.4745,161.8137,110.6858
0.8692646,266.6997,169.3356,114.1011
1.168772,275.2237,177.1805,117.6791
1.190784,281.8725,185.164,121.4023
1.200372,287.3477,193.4705,125.0916
1.114477,291.4961,201.7338,128.831
0.9727325,293.619,210.1609,132.7807
0.8234692,294.0266,217.7941,137.0063
0.8036432,293.069,225.4139,141.2555
0.7431259,290.5795,232.3788,146.2543
0.7612772,287.1454,239.1226,150.9637
1.037474,283.5683,245.1131,155.8336
1.257266,280.188,250.5164,160.9405
1.272376,277.1584,255.1832,165.8193
1.354032,275.0901,259.317,171.0107
1.327152,274.0848,263.0446,176.55
1.441128,274.5287,266.7704,182.2108
1.437162,276.2145,269.7434,188.3032
1.53565,278.9002,272.8086,194.8225
1.483832,282.4146,275.8952,201.8192
1.313531,286.4989,278.837,208.6233
1.350208,291.3796,281.7986,216.3513
1.262451,297.3071,284.6086,224.9558
1.230331,303.9589,287.1266,233.5469
1.182846,311.4692,290.3186,243.039
1.293417,320.285,293.937,253.2854
1.43209,330.0638,297.6146,263.2136
1.565934,342.0701,301.8425,273.9967
1.778693,355.7556,305.7567,285.6404
1.832576,369.3127,311.1635,296.9772
1.958308,384.1248,317.7857,309.2146
2.013226,399.2178,324.5443,322.4184
1.900956,415.3779,331.7053,336.2788
1.976776,432.4618,339.9781,351.6081
1.942533,447.272,349.1925,367.3401
2.064632,462.0359,357.9002,385.4322
2.001075,475.9594,367.3595,404.2033
2.192392,489.1235,376.6313,422.3445
2.310712,501.948,385.8117,442.3819
2.362311,511.4246,395.6729,462.0136
2.456297,520.4762,406.2029,483.5205
2.468528,527.7261,416.4703,506.0088
2.466484,531.3711,424.9439,527.6485
