EL1: Electronic Ladder,A1: 4Wk_frozen,B1: 8Wk_frozen,C1: 12Wk_frozen,D1: 16Wk_frozen,E1: 20Wk_frozen,F1: 24Wk_frozen,G1: 36Wk_frozen,H1: 48Wk_frozen,A2: 60Wk_frozen
0.02700949,0.27139,0.1733265,0.1861215,0.1640387,0.1362882,0.08462143,0.07058907,0.02039146,0.2034998
0,0.2772083,0.1559258,0.1092925,0.1960196,0.1863403,0.03796864,0.09743309,0.04859638,0.2549734
0,0.2053266,0.1326032,0.1332731,0.1498466,0.1764874,0.1089845,0.1422272,0.008020878,0.1718335
0,0.1786218,0.1643252,0.2073221,0.3320203,0.0636344,0.213973,0.2259598,0,0.1592922
0,0.2254467,0.2074065,0.1511378,0.3806396,0.007810116,0.2571335,0.2692761,0,0.07163382
0.04109764,0.1601083,0.2537208,0.1091852,0.4717822,0.05042744,0.296792,0.3141608,0,0.0621767
0,0.1438062,0.2393346,0.08429909,0.4515634,0.1413498,0.2230601,0.3634768,0.03350735,0.06214666
0.02638292,0.04615521,0.2366781,0.09750938,0.4321246,0.2370071,0.129961,0.3371329,0.1407647,0.02856064
0.06229401,0,0.1949744,0.08737946,0.3595533,0.2260275,0.08272791,0.3371887,0.2112079,0
0.04121494,0,0.0938096,0.1397362,0.2345929,0.2930083,0.04053164,0.2716837,0.3070178,0.103581
0,0.09622979,0.0921154,0.2802315,0.1254592,0.2937317,0.01126194,0.1787996,0.3603368,0.2165861
0,0.09273314,0.04317379,0.2175193,0.1851101,0.313343,0,0.1441936,0.3315449,0.2823238
0,0.04443717,0,0.3545837,0.1669626,0.2415881,0,0.1266189,0.2959309,0.3098783
0,0.1360445,0.01463938,0.406333,0.1956382,0.1633816,0.03114748,0.07866812,0.2390766,0.3189774
0,0.3063464,0.06578827,0.332469,0.0784483,0.182106,0,0.1280599,0.138834,0.2881751
0,0.3356979,0.1261592,0.2472849,0.02421904,0.1444864,0,0.1482449,0.0727911,0.3197184
0,0.3246548,0.05924797,0.1476359,0,0.1267829,0,0.144733,0.1018376,0.2726593
0,0.249223,0.05452013,0.09135628,0.006525993,0.03020573,0.002709389,0.07269573,0.1211352,0.2560582
0,0.1643438,0.04596281,0,0.06629324,0,0.09233427,0.141151,0.08443832,0.1231799
0,0.06560826,0.01072454,0,0.03616858,0.02461386,0.1111851,0.1337438,0.1489711,0.1716247
0,0.1789079,0,0,0.1342454,0.07513952,0.09305191,0.102747,0.1239009,0.2183962
0.3040228,0.1746411,0,0.008239269,0.1458945,0.0388422,0.002295494,0.1144328,0.1187563,0.2074265
1.405515,0.1393316,0,0.09693575,0.1207318,0.02522564,0.06882143,0.106319,0.2075748,0.137362
2.834507,0.09148049,0,0.1713915,0.07617235,0,0.07918978,0,0.229867,0.08179474
4.043449,0.1299126,0.02223778,0.1345639,0,0.01639032,0.03645849,0,0.1930766,0.06936836
5.409372,0.1210856,0.03253412,0.08360624,0,0,0.04529238,0,0.2312384,0
