EL1: Electronic Ladder,A1: OC_ReSeq_2_Pool_Redo
8.29179,0.4794264
7.844216,0.4591329
7.306865,0.467175
6.777343,0.6416202
6.892305,0.7660036
7.045538,0.8744683
6.958939,0.8921275
7.153193,0.8149285
7.078785,0.7471108
6.697568,0.6909661
6.884301,0.7285299
7.002736,0.7554469
6.67099,0.8289671
6.219707,0.8545468
5.851751,0.7302504
5.331956,0.7014289
4.917,0.5976338
4.547113,0.4624341
4.206336,0.4715877
3.636758,0.3797398
3.721591,0.5995917
3.303188,0.7348762
3.07337,0.7977562
2.7288,0.7337408
2.429661,0.6432343
2.284179,0.629806
2.245777,0.553484
2.079137,0.6166983
2.122368,0.7030549
1.542548,0.6890302
1.745257,0.7820969
1.461348,0.7998385
1.737342,0.7350438
1.637045,0.7111063
1.824195,0.6080551
1.882611,0.4429612
2.03647,0.2412438
1.720119,0.2037163
1.385761,0.2661552
0.6238914,0.2543166
0.5658407,0.2333236
0.08572006,0.2214501
0.1557803,0.2185218
0,0.4383984
0.4720645,0.5541399
0.5922728,0.6054821
0.5673494,0.7090769
0.4899621,0.6508255
0.4364758,0.6984587
0.3333011,0.5861216
0.4412446,0.4228497
0.280221,0.1079695
0.2462144,0.05285859
0,0.0236218
0,0
0,0.06332088
0.1561298,0.1977103
0.3265882,0.09255409
0.8073096,0.2372298
1.279883,0.2400761
1.40897,0.2727504
1.157851,0.3057451
1.094481,0.5167389
0.4751964,0.5194881
0.5056715,0.6271081
0.3285208,0.7166309
0.04105282,0.5515726
0,0.4022913
0.08975363,0.2782965
0.07307816,0.1523044
0.1136575,0.1698456
0,0.219738
0.6158395,0.2887945
0.8192053,0.364362
1.408642,0.4382224
1.614417,0.4456451
1.751886,0.2434745
2.306686,0.1689403
2.904805,0.119266
3.413986,0.1269894
4.130844,0.146718
4.943857,0.2916708
7.133502,0.3054838
9.495111,0.3829598
13.71753,0.3603182
19.85308,0.3277311
27.29672,0.1927559
36.62465,0.3068409
47.48554,0.3608236
60.59391,0.4295835
75.25874,0.4064937
91.51997,0.6042883
108.9224,0.5469918
126.9818,0.5671034
144.975,0.3528636
162.0498,0.1784539
176.93,0
189.4299,0.1016045
198.0317,0.1476579
204.1415,0.2621717
206.5169,0.3489385
206.3958,0.5080714
202.7486,0.497004
197.2786,0.5190172
187.8807,0.3501139
175.721,0.222055
161.1599,0.09015036
144.6688,0.09552622
126.4889,0.04385662
108.3251,0.01282644
90.61497,0.04159403
74.58101,0
60.42262,0.08246756
49.65517,0.2347503
39.69958,0.2868867
31.71081,0.3238454
25.52452,0.4262233
20.82479,0.4308915
17.37575,0.3652267
14.84799,0.351522
12.96683,0.3759022
11.54038,0.2310596
10.94801,0.3490205
10.4467,0.3541627
9.511638,0.2733111
8.422405,0.3076611
7.817132,0.3113642
7.055782,0.1877322
6.635183,0.2460508
6.449615,0.2603526
6.285295,0.2359624
6.060153,0.2410684
5.926733,0.4536991
5.661026,0.626462
5.632002,0.6341419
4.678375,0.7129517
4.343715,0.6598854
3.671192,0.470572
3.534571,0.417129
3.81281,0.2357526
3.93047,0.1040211
3.852384,0.06402683
3.679461,0
3.47441,0
3.851378,0.03361702
3.088679,0.09853077
2.549013,0.1393056
1.976957,0.1499681
1.658007,0.1504064
1.621227,0.2258449
1.438957,0.1993942
0.9294248,0.07733488
0.6690311,0
0.6020641,0
0.9197803,0.1003885
0.5936904,0.2167521
0.5131307,0.2123137
0.473218,0.308022
0.620481,0.471405
0.6242595,0.6296177
0.7478189,0.5830393
0.5255723,0.5434494
0.8721914,0.3783021
0.838119,0.3462958
0.7582636,0.235023
0.601542,0.1748781
0.3964067,0
0.2076387,0
0.1831088,0
0.2490282,0
0.2600851,0
0,0
0.6829414,0
0.6272392,0.02730894
0.978467,0
0.953722,0
1.321592,0.08276129
1.381162,0.3255539
1.417559,0.4744568
1.489359,0.9139404
1.539093,1.674576
1.313554,2.619483
1.911909,4.067787
1.610859,5.995344
1.931379,8.468508
1.580839,11.85142
1.96067,15.99252
1.938461,20.99942
1.972639,26.83412
2.003205,33.50316
2.483835,40.56323
2.6951,47.41062
3.595782,53.57463
4.22955,58.44282
5.53757,61.05806
7.034302,61.71357
9.895095,60.00544
13.87365,56.41706
19.79529,51.54506
27.91185,46.01942
40.63232,40.44599
57.46437,35.3369
77.53014,30.9372
102.107,27.45864
128.8,24.515
157.2417,22.57016
184.1637,21.17012
207.8488,20.61639
228.3115,21.13876
243.7182,22.80283
253.343,25.59943
255.9557,29.96674
250.3817,35.72559
241.0813,43.18164
226.011,52.08369
207.5935,62.76417
185.1283,74.61314
161.5331,88.30248
139.4845,103.1749
117.9773,118.8961
98.09609,134.7809
80.42619,150.9925
64.91884,166.3477
52.91896,181.764
42.74344,197.0294
34.46167,211.4056
27.88666,226.3441
22.64065,241.2323
19.24342,257.3959
15.98632,273.2243
14.24477,289.0136
12.83725,304.2298
12.04359,320.2656
10.95461,335.945
10.05981,349.7545
9.555111,361.99
9.239225,372.6594
8.759311,382.0003
8.683171,392.0616
8.065044,400.9953
7.939118,410.5023
7.66387,418.6671
7.275065,428.1318
6.594486,437.776
5.860849,446.1301
5.674041,453.408
5.486002,460.2398
5.401498,467.6171
5.240957,475.3068
5.339306,482.2362
5.541451,486.6442
5.950233,487.2668
5.837429,486.3524
5.769055,484.4377
5.569044,478.168
5.665157,470.2956
5.813099,461.6699
6.296791,451.4416
6.831157,440.6143
7.663871,430.8195
7.942285,420.2899
8.381866,410.3505
8.303632,402.287
8.500734,396.5137
8.377721,389.8654
8.563502,384.7379
9.080918,378.3321
10.49445,372.6438
13.53514,365.117
18.89631,359.3078
26.93922,352.7776
39.02589,345.1348
55.5829,338.5862
76.7729,332.9356
102.4516,326.836
132.2965,321.6843
164.455,316.0017
196.6404,311.436
226.0995,304.6218
251.0566,298.6408
269.8797,292.0954
281.317,283.6535
283.1298,274.84
276.5649,265.7756
262.44,256.8154
242.7288,247.9192
219.2377,238.698
193.4411,229.9282
166.4206,221.669
140.6646,213.9859
117.1756,206.7269
96.18271,199.1918
77.18284,192.2607
61.80764,185.7958
49.12282,180.0102
39.38908,174.1968
32.00731,168.5434
26.92308,163.2018
22.89351,158.5004
20.07804,153.5314
17.73766,148.61
16.06171,143.6297
14.91012,139.1481
13.93443,134.1796
13.33416,129.3001
12.78724,124.0447
12.23833,119.0805
12.02171,114.2459
11.69739,109.785
11.4435,105.1546
11.5284,101.0489
11.99901,96.97374
12.41101,93.36387
12.31246,89.87933
12.22844,86.75601
12.2033,83.86073
12.39944,81.29806
12.59176,78.94386
12.27151,76.71144
12.29453,74.167
