A1: Ladder,B1: PHDIP1072-11,C1: StPaul1919_1,D1: Oahu1950_1_mel,E1: Oahu1950_2_mel,F1: Honolulu1951_mel,G1: Kauai1954_mel,H1: Oahu1960_sim,A2: Kilaueau1953_sim,B2: Kauai_1952_sim,C2: Maui1958_sim,D2: Oahu1965_sim
0.8989701,0.7531004,0.2569389,0.6574073,0.7228413,0.2969499,0.7874088,0.4244552,0.5468082,0.4223285,0.6394908,0.4473643
0.9236956,0.7102671,0.2020509,0.5064244,0.6925981,0.2128453,0.6750693,0.4944677,0.5475059,0.449964,0.5766621,0.3582921
0.831419,0.6260746,0.1824183,0.5182116,0.5624173,0.1827216,0.7105918,0.4904656,0.5487208,0.4047036,0.6254063,0.4745498
0.7910078,0.5728338,0.2296276,0.5046978,0.4625416,0.2402678,0.5210958,0.5499969,0.6395497,0.4025526,0.6576476,0.5434804
0.7024968,0.2882674,0.2556586,0.5882173,0.4873295,0.2452445,0.4770217,0.5041933,0.5306027,0.3120995,0.7343025,0.6028709
0.6307309,0.1920335,0.3195577,0.6770344,0.4749274,0.3571901,0.2205162,0.57581,0.5639143,0.2294946,0.5698502,0.707355
0.5479558,0.08295202,0.3190384,0.8281913,0.4686956,0.2729034,0.2437158,0.710803,0.4993768,0.1913984,0.547924,0.8002329
0.4083285,0.1589913,0.3652792,0.8914309,0.4031928,0.1587067,0.3827167,0.7620239,0.4281111,0.16521,0.3509059,0.7113051
0.4197023,0.2393541,0.4274528,0.9783688,0.4174507,0.151792,0.4552999,0.8499484,0.4450345,0.2072258,0.4094467,0.6762013
0.3801005,0.2759006,0.4660251,0.8540184,0.5405388,0.2303753,0.5415349,0.8622079,0.3475001,0.3202641,0.4400868,0.5560079
0.5461216,0.3405325,0.5405538,0.7872529,0.4454494,0.24579,0.4844565,0.8376794,0.2145064,0.3931212,0.4712334,0.4261642
0.6180203,0.3909099,0.5108519,0.6145866,0.3067069,0.2175159,0.5135021,0.9020896,0.1617923,0.4753122,0.549746,0.375349
0.6967695,0.4396589,0.4584634,0.6326256,0.1159532,0.3018713,0.549026,0.8271861,0.2122023,0.4774098,0.6695571,0.3467398
0.7234888,0.5314443,0.4994285,0.5821247,0.1063666,0.3492842,0.4801741,0.734931,0.1828287,0.4906378,0.7533278,0.2789164
0.6822209,0.3658054,0.46838,0.4920971,0.2182291,0.4155173,0.5231805,0.6294837,0.1172924,0.3949327,0.7833719,0.2792473
0.6348383,0.2830746,0.4430625,0.4991932,0.1914561,0.384387,0.4704547,0.6357331,0.3026488,0.383672,0.6282601,0.3641806
0.5266013,0.3126523,0.3348293,0.5238101,0.3180056,0.1904702,0.4643731,0.6170082,0.3325293,0.3281152,0.489521,0.4201522
0.3434265,0.3455627,0.4320164,0.5701478,0.3464689,0.1124072,0.4879313,0.5530257,0.3896692,0.2656505,0.4178247,0.5735331
0.2853572,0.2660935,0.6995187,0.6266279,0.4151735,0.1198258,0.3416924,0.5416336,0.3907926,0.2961972,0.3217435,0.5684538
0.2042956,0.1916595,1.218287,0.6952012,0.4925876,0.07894421,0.3191156,0.5523267,0.3434076,0.2011654,0.2018347,0.6443267
0.2829609,0.1521456,1.679075,0.8177352,0.532913,0,0.3422699,0.496346,0.2729726,0.1281528,0.1104841,0.7444758
0.1874318,0.04272151,2.244866,0.8502579,0.5497761,0.02809858,0.435041,0.5988865,0.2702861,0.01533055,0.07582045,0.8385792
0.2569206,0.1105647,2.551504,0.999759,0.514257,0.190475,0.3339596,0.6219583,0.2877862,0.01456738,0.1232386,0.7520094
0.3907886,0.2459171,2.703753,1.030021,0.5970311,0.2747583,0.4605637,0.6541967,0.3402066,0.04156566,0,0.6426821
0.5053287,0.2502277,2.4201,1.057636,0.6415622,0.4047971,0.4798059,0.7553873,0.3433652,0,0.02927041,0.6161423
0.5748174,0.3197112,1.829638,1.062039,0.5902095,0.4580336,0.4679255,0.8437839,0.3002152,0.0926435,0.07779598,0.5285034
0.5808358,0.511935,1.196345,0.9260364,0.6899383,0.3281646,0.444777,0.8066874,0.2027788,0.1749094,0.1356487,0.5396681
0.5205607,0.5643454,0.545531,0.8381526,0.6662846,0.3373933,0.3928347,0.7324924,0.1676197,0.2348506,0.3777556,0.5196142
0.4267826,0.5072215,0.1800501,0.6841543,0.6284728,0.2582135,0.2278395,0.7218099,0.1215379,0.3353865,0.4580543,0.3345428
0.3808632,0.419915,0.1979396,0.6788602,0.4549847,0.2396588,0.2084432,0.5891695,0.0875535,0.3133202,0.5132437,0.3688831
0.318099,0.2636106,0.1468289,0.6846616,0.3939235,0.1360559,0.2064977,0.4459176,0.07813644,0.3347542,0.5190392,0.3398976
0.1986644,0.159447,0.4549456,0.748018,0.2871356,0.1483283,0.2077618,0.4309573,0,0.3085873,0.5254183,0.3087702
0.2624547,0.1486883,0.4799471,0.7242043,0.1256366,0.1256623,0.2246723,0.3411818,0.04780769,0.3478847,0.5543208,0.1598158
0.4136682,0.1248462,0.5034432,0.6489511,0.03661323,0.08946323,0.3586893,0.304534,0.2292464,0.3158557,0.5335495,0.09784555
0.5670304,0.1556685,0.4348409,0.75278,0.05377531,0.06793547,0.2900653,0.2223687,0.2700942,0.3322079,0.5559967,0.2296438
0.6479368,0.04811049,0.3402674,0.8100293,0,0.1598291,0.2636499,0.20719,0.1831143,0.2701275,0.6233783,0.3394532
0.6502013,0.07268667,0.2881188,0.7688208,0.1082919,0.10432,0.3194551,0.2123623,0.2049932,0.2923622,0.5256877,0.4470677
0.7664373,0.1458886,0.2109387,0.8731604,0.3396049,0.2127533,0.3468075,0.2987571,0.1702902,0.196172,0.556078,0.4592423
