EL1: Electronic Ladder,A1: 4WkDry_F_2,B1: 4Wk_Dry_F_3,C1: 8WkDry_F_2,D1: 8WkDry_F_3,E1: 12WkDry_F_2,F1: 12WkDry_F_3,G1: 16WkDry_F_2,H1: 16WkDry_F_3,A2: 20WkDry_F_2,B2: 20WkDry_F_3,C2: 24WkDry_F_2,D2: 24WkDry_F_3,E2: 36WkDry_F_2,F2: 36WkDry_F_3,G2: 48WkDry_F_2,H2: 48WkDry_F_3
0.2393465,0.05073023,0.002330303,1.645884,0.2633877,0.09385872,0.1178341,0.2290564,0.2640667,0.3504205,0.2673779,0.3299727,0.3771801,0.225317,0.2897453,0.1871405,0.3375421
0.2078538,0.0923934,0.01078463,2.529289,0.1467834,0.1473641,0.1791582,0.2299156,0.1849627,0.2556939,0.2687349,0.2791266,0.334167,0.2373905,0.3598194,0.1493301,0.3168325
0.1527991,0.1087327,0,3.59012,0.1477623,0.2091136,0.1407571,0.1659369,0.2648778,0.2296772,0.3502984,0.21175,0.2530317,0.2734451,0.3749752,0.2601056,0.3601303
0,0.1636167,0.03994894,4.880851,0.1193781,0.177896,0.2345452,0.06783867,0.2120132,0.2473459,0.4910955,0.1981583,0.2105446,0.3551455,0.4865441,0.3609033,0.3311701
0.02681494,0.1872339,0.05547094,6.566244,0.1172118,0.07195902,0.2573013,0,0.1873703,0.2495737,0.4833665,0.1542788,0.141468,0.2891502,0.4486628,0.4341664,0.3708787
0,0.2207203,0.10042,8.647033,0.1005936,0.06842089,0.2545347,0.04014587,0.2517838,0.2510138,0.5533905,0.1102872,0.06609726,0.2720022,0.5898457,0.4032617,0.3285599
0,0.1219974,0.1337538,11.05674,0.151072,0.06038189,0.1626167,0.1074805,0.2267299,0.2437706,0.5534539,0.1256042,0.2025933,0.3242064,0.6772127,0.2858109,0.2909894
0,0.05835009,0.2259607,13.87058,0.2241635,0,0.08607531,0.1683841,0.2199507,0.2408266,0.4749622,0.06566334,0.1330557,0.3242311,0.5513306,0.2194824,0.3020592
0.004436493,0.02615452,0.210125,17.03755,0.1636786,0.04874516,0.1432753,0.2467489,0.1031604,0.3095732,0.3798642,0.05268955,0.2072139,0.3363318,0.5078425,0.1577682,0.2063475
0.1063318,0.01375198,0.2935138,20.58715,0.06544638,0.08894539,0.1063046,0.2520075,0.05710411,0.2906013,0.2827764,0.1063318,0.328876,0.2572117,0.362114,0.1368022,0.1882973
0.03486204,0.01990891,0.3026347,24.45974,0.008946419,0.1307726,0.1275554,0.1928468,0.02368069,0.3003182,0.3194885,0.1138282,0.3172326,0.199398,0.2728648,0.06204367,0.1942329
0.07004738,0,0.3907628,28.80172,0,0.1293788,0.1248679,0.2060838,0.06532621,0.1965837,0.2716999,0.1829829,0.3523259,0.1659532,0.1707506,0,0.1866474
0.1939974,0,0.4261599,33.51254,0,0.1143622,0.1877041,0.07013702,0.09632206,0.1459894,0.406477,0.24576,0.3499398,0.145225,0.1275864,0.07230663,0.2467117
0.2114682,0,0.4505806,38.54055,0,0.01248169,0.2996802,0,0.1272731,0.1855731,0.3807416,0.3385425,0.3193908,0.1438594,0.1872153,0.1104774,0.1767654
0.3254375,0,0.382905,43.81753,0.03364611,0,0.3023834,0,0.2027202,0.1471939,0.2667174,0.3207111,0.2488618,0.09611225,0.0424428,0.174438,0.1479578
0.3272204,0.02644253,0.3278222,49.09526,0.05393648,0.002840519,0.260108,0,0.3047199,0.1242561,0.2485881,0.3077197,0.1408157,0.1615624,0.09692383,0.2004676,0.09175587
0.3582625,0.03182888,0.1733475,54.29139,0.175241,0.04749775,0.1875691,0,0.2911305,0.04905319,0.1626415,0.2112317,0.1543336,0.2644181,0.01406431,0.1260796,0.07725668
0.6224704,0.02528524,0.08778954,59.24665,0.185432,0.03617382,0.153161,0.02654934,0.3011689,0,0.1244879,0.158082,0.04182386,0.309916,0,0.1093812,0.02231598
0.6738214,0.167541,0.02996778,63.8403,0.06936169,0.05273247,0.2514234,0.06671381,0.198544,0,0.1378841,0.1008835,0.09138966,0.3169432,0,0.1393352,0
0.6119556,0.2113271,0,67.90358,0,0.01640272,0.2130346,0.1201482,0.2227778,0.02122879,0.1283789,0.07186127,0.07562637,0.2629714,0,0.1864471,0.08669424
0.3347888,0.2240424,0,71.43191,0,0.04400158,0.1414628,0.1519561,0.2243671,0.07141018,0.241015,0.05491352,0.07478714,0.2793341,0,0.159915,0.1472521
0.1531692,0.2164807,0.007090569,74.42268,0.02795076,0.1160483,0.2179298,0.1288466,0.2104645,0,0.1775804,0.1060462,0.1414299,0.2362304,0,0.1254573,0.2275343
0.07856035,0.2389545,0.04006243,76.81519,0.06856441,0.1695042,0.1902466,0.08830309,0.1981654,0.07557821,0.2198548,0.1014142,0.1284566,0.1586485,0.0895853,0.2226477,0.3687453
0.02700949,0.2839255,0.09179211,78.45602,0.09746695,0.1203299,0.1478138,0.1012182,0.2289705,0.2036328,0.1809006,0.1360378,0.2169323,0.1410193,0.2179871,0.2360687,0.3718939
0,0.2994518,0.1535578,79.11343,0.05296564,0.1970077,0.07813072,0.0969696,0.2231522,0.2018328,0.1249971,0.1386919,0.2005911,0.1081781,0.2546391,0.3169937,0.4190788
0,0.2819676,0.1524048,78.8316,0.05699968,0.2025557,0.0698781,0.07927465,0.2564721,0.187583,0.2339206,0.1306887,0.2500343,0.1538653,0.3443556,0.3413057,0.4204497
0,0.3779306,0.1503925,77.85136,0.121058,0.2279925,0.111587,0.05258846,0.2391181,0.1817665,0.2686639,0.09162235,0.3498673,0.2312832,0.3235021,0.4136801,0.3252211
0,0.2982116,0.1686606,75.8602,0.1046257,0.1077089,0.1676078,0.03419113,0.2792759,0.1539135,0.4235878,0.2127891,0.3297839,0.1880908,0.3304586,0.3751168,0.2060184
0.04109764,0.3402209,0.170485,73.09201,0.01203012,0.03981256,0.1588216,0,0.3038974,0.1656327,0.5377564,0.2371373,0.3436112,0.1721182,0.3160615,0.2958655,0.1912799
0,0.2109652,0.09882307,69.61431,0.00745821,0.04112864,0.07678843,0.01191187,0.2732172,0.1757026,0.5168853,0.257947,0.1922441,0.2115664,0.2235923,0.2111979,0.06854868
0.02638292,0.1989293,0.05417728,65.83463,0,0.04070234,0.06319809,0,0.2032409,0.173593,0.494206,0.3387952,0.1306667,0.3202777,0.1050372,0.01787996,0.03816366
0.06229401,0.2313452,0.007204533,61.76513,0.002779007,0.0364604,0.07944155,0,0.1645875,0.09246111,0.3402243,0.3850031,0.09079838,0.3937268,0.05129147,0,0.1337366
0.04121494,0.2381911,0,57.50289,0,0.01781511,0.03797054,0,0.05314016,0.1760745,0.1960092,0.3871903,0.05779505,0.4197326,0.04649734,0,0.2156825
0,0.1979723,0.01096678,53.16445,0,0,0,0,0.04274035,0.2375112,0.055233,0.3623881,0.04356241,0.4431634,0.09848166,0,0.2590599
0,0.1433964,0.09679985,48.86097,0,0,0,0,0,0.2553525,0.02758312,0.4440312,0.01875401,0.4811997,0.1814117,0,0.2218618
