EL1: Electronic Ladder,A1: 40WkFrozen_F_2,B1: 40WkFrozen_F_3,C1: 44WkFrozen_F_2,D1: 44WkFrozen_F_3,E1: 48WkFrozen_F_2,F1: 48WkFrozen_F_3,G1: 52WkFrozen_F_2,H1: 52WkFrozen_F_3,A2: 52WkFrozen_F_3
0,0.03381872,0.3796165,5.336598,0.1831048,0,0.2378898,0,0.3110452,0.304225
0,0,0.3820765,5.612472,0.2156026,0,0.3035135,0,0.3516836,0.348474
0,0,0.3221276,5.858552,0.1730812,0.1391892,0.3612947,0,0.3383894,0.3926811
0,0,0.1844158,6.12809,0.0742135,0.161139,0.3211479,0,0.3627205,0.4015417
0.04109764,0,0.1216769,6.361118,0.007797718,0.1674895,0.2862301,0.004153252,0.4002271,0.4049101
0,0,0.125953,6.533574,0.03300953,0.2112241,0.2419648,0.1096292,0.4323831,0.4468703
0.02638292,0,0.09469962,6.746938,0.05220008,0.1987925,0.205265,0.1388845,0.3411236,0.270215
0.06229401,0.02640963,0.07410789,7.007244,0,0.1382408,0.1373978,0.1456652,0.2842331,0.2387872
0.04121494,0.04780698,0.07612133,7.160595,0.08290601,0.1716599,0.04365778,0.009848118,0.1229219,0.2686052
0,0.1069176,0.1097026,7.360143,0.1430767,0.2397504,0.0894227,0,0.03544092,0.3044448
0,0.06969285,0.08513808,7.631705,0.1637092,0.2455049,0.1569748,0,0,0.2631416
0,0.04675603,0.1503,7.822081,0.2228894,0.214478,0.2585349,0,0,0.1479611
0,0.08252525,0.1227033,7.993042,0.2261984,0.2414718,0.336904,0.01511335,0,0.04181767
0,0.1020026,0.134058,8.163363,0.08765721,0.2405739,0.2993846,0.08033657,0.07677078,0
0,0.06727242,0.1938939,8.355968,0.0162859,0.209146,0.3026404,0.1438584,0.1583781,0
0,0.07121944,0.2060204,8.544607,0,0.1761022,0.2629609,0.2166166,0.2005277,0
0,0,0.1168509,8.708598,0.02410603,0.09479237,0.2563314,0.07770205,0.1841145,0
0,0,0.03819346,8.90626,0.003748417,0.1119914,0.266758,0.02155161,0.2203488,0.04667282
0,0,0,8.971399,0.09331322,0.1192899,0.2366781,0,0.2792759,0.1690426
0,0,0,9.080295,0.2035072,0.1676946,0.318748,0.03634977,0.1692438,0.3106389
0.3040228,0,0,9.170351,0.1924069,0.1623507,0.3266621,0.09274292,0.1324406,0.3344097
1.405515,0,0,9.241135,0.1567354,0.1406212,0.3015966,0.02000856,0.1746159,0.2992353
2.834507,0,0,9.300055,0.1355436,0.1445127,0.2116036,0.09161139,0.1179023,0.3549814
4.043449,0,0.01025772,9.283162,0.08375502,0.09611082,0.1533804,0.2175121,0.1262798,0.362566
5.409372,0.03152108,0.04703951,9.358624,0.03301549,0.03638601,0.1154289,0.2104907,0.08585882,0.2871733
7.060751,0,0,9.409795,0,0.04554367,0.0564003,0.1687584,0.1237769,0.2715364
