EL1: Electronic Ladder,A1: 4WkFrozen,B1: 8WkFrozen,C1: 12WkFrozen,D1: 16WkFrozen,E1: 20WkFrozen,F1: 24WkFrozen,G1: 28WkFrozen,H1: 32WkFrozen,A2: 36WkFrozen,B2: 40WkFrozen,C2: 44WkFrozen,D2: 48WkFrozen,E2: 52WkFrozen
0.004436493,0.2288685,0.1594629,0.2028418,0,0.1349635,0.1447005,0.1261177,0.1651096,0.1811252,0,0.01918697,0.2598934,0.1290927
0.1063318,0.2994671,0.1833882,0.4197845,0.05140066,0.1574039,0.1104078,0.0943923,0.08815861,0.1841412,0,0.008608818,0.2179408,0.1755857
0.03486204,0.2946429,0.1407423,0.4864173,0.03586483,0.1740823,0.27004,0.1442671,0.025949,0.08735704,0,0,0.1495204,0.2081218
0.07004738,0.2700257,0.07484674,0.5862241,0.05253363,0.1397576,0.298255,0.1068115,0.0428896,0.1005449,0,0,0.08954,0.2668581
0.1939974,0.2425895,0.03542233,0.5220838,0.03701019,0.1921105,0.2711639,0.1694808,0.1045332,0.1177411,0,0.006890774,0,0.1799412
0.2114682,0.1414337,0.06934118,0.4671059,0.02141857,0.1680665,0.3534946,0.2243476,0.1807489,0.2600083,0,0,0.09993505,0.05136108
0.3254375,0.08297205,0.1478839,0.4404702,0.01599169,0.1601677,0.2878222,0.3017282,0.1453533,0.2547178,0,0.02295208,0.1668859,0
0.3272204,0.09679604,0.1833191,0.3373322,0,0.1435113,0.2196012,0.2693443,0.1162729,0.2304764,0.04479599,0,0.1790595,0
0.3582625,0.05381203,0.2131128,0.2380166,0,0.1689095,0.249598,0.2301207,0.2298274,0.1300316,0.01359415,0,0.2148323,0.1126647
0.6224704,0,0.1692224,0.2700133,0,0.1891274,0.2552953,0.09876633,0.301734,0.1391287,0,0,0.1899271,0.2831306
0.6738214,0.05120802,0.0817337,0.2618041,0,0.3541312,0.3712301,0.04781961,0.2661715,0.1134634,0,0,0.1364503,0.3439107
0.6119556,0.1986403,0.004001141,0.3635535,0,0.436934,0.291317,0,0.2981853,0.1320038,0.01902103,0.03250027,0.1867437,0.3970747
