EL1: Electronic Ladder,A1: 4WkFrozen_F_2,B1: 4WkFrozen_F_3,C1: 8WkFrozen_F_2,D1: 8WkFrozen_F_3,E1: 12WkFrozen_F_2,F1: 12WkFrozen_F_3,G1: 16WkFrozen_F_2,H1: 16WkFrozen_F_3,A2: 20WkFrozen_F_2,B2: 20WkFrozen_F_3,C2: 24WkFrozen_F_2,D2: 24WkFrozen_F_3,E2: 28WkFrozen_F_2,F2: 28WkFrozen_F_3,G2: 20WkDry_F_2
0,0,0.01995683,0.10706,0.01334524,0,0.4266434,0,0.204845,0.05710983,0.1356649,0.2455564,0.07047319,0.246274,0.008466244,0.05838013
0.02681494,0,0.07356143,0.08523512,0.03341889,0.01901197,0.3179188,0.05696774,0.2156653,0.1395693,0.162673,0.1475945,0.2378435,0.2180014,0.03002024,0.04866314
0,0,0.03240204,0.165833,0.04369092,0.1236839,0.2484298,0.03252411,0.1498814,0.1712995,0.1042295,0.09686708,0.2689934,0.2532377,0,0.08024383
0,0.009605169,0,0.2532411,0.1261263,0.20821,0.2324171,0.04408693,0.1346602,0.3549337,0.07236481,0.03265953,0.2890153,0.1774521,0,0.1067836
0,0,0,0.3051262,0.09290147,0.1699867,0.3082657,0.1068258,0.06033754,0.4007125,0,0,0.3880105,0.08240843,0,0.04078865
0.004436493,0.0002486706,0,0.237803,0.08373904,0.2255182,0.3582397,0.09324026,0.02552223,0.4398756,0.01795101,0.02822781,0.3960185,0.1047521,0.01423073,0.07495975
0.1063318,0.07219505,0,0.2151222,0.1754558,0.2532401,0.3823571,0.1399331,0.1381006,0.4204159,0,0,0.35323,0.13024,0.01157141,0.1782527
0.03486204,0.1757798,0.0623157,0.1334162,0.1565485,0.2508755,0.4130087,0.02958345,0.02592993,0.3646731,0.1327648,0,0.3100638,0.03345251,0.05444431,0.2614851
0.07004738,0.1991589,0.1270046,0.07565451,0.1571314,0.1917405,0.3255968,0.1645346,0.002689838,0.2720041,0.2601538,0,0.259727,0,0.08871746,0.2414861
0.1939974,0.2879059,0.09769487,0,0.1155138,0.1824169,0.2665553,0.1168604,0,0.09773397,0.2991066,0,0.2602878,0,0.07652903,0.2498667
