EL1: Electronic Ladder,A1: 52Wk
91.76865,288.1299
95.54222,280.471
98.08273,273.4912
99.29156,266.6098
99.06339,259.1106
97.45181,251.9066
94.50578,245.4618
90.77435,238.6986
86.22996,232.5605
80.70927,227.0235
74.90852,221.823
68.94247,216.408
62.84081,211.3791
56.55688,207.0029
50.46388,202.4782
44.74711,198.0226
39.44721,193.9223
34.87772,189.271
30.95333,185.0096
27.34794,181.0372
24.55551,176.9123
22.37551,172.4923
20.65787,168.1894
19.16058,164.3509
18.21872,160.3897
17.438,156.3697
16.86738,152.3125
16.64213,147.9365
16.57688,143.7406
16.45852,139.738
16.46589,135.7375
16.63826,131.693
16.67247,127.7985
16.84927,124.0539
17.22406,120.4089
17.14243,116.9793
17.43853,113.6275
17.82478,110.2728
17.96032,107.1413
18.25215,104.3066
18.41615,101.4497
18.5258,98.84169
18.76223,96.37949
19.05353,94.02872
19.16386,91.8595
19.16387,89.78465
19.28988,87.81075
19.35769,85.93819
19.3758,84.24502
19.57454,82.60595
19.62598,80.93519
19.78218,79.56604
20.18354,78.1773
20.41926,76.87022
20.65388,75.69221
21.04916,74.42092
21.33175,73.21788
21.92436,72.06563
22.47783,70.91363
23.19967,69.80059
24.00547,68.63662
24.92137,67.525
26.07762,66.31953
27.05424,65.18616
28.35841,64.12899
29.94373,62.89464
31.9086,61.72633
34.26385,60.52009
36.98215,59.37614
40.44484,58.42034
44.49338,57.42007
49.04794,56.4912
54.35099,55.65469
60.32379,54.85604
67.59665,54.12247
76.28723,53.41587
86.51976,52.64449
97.90131,51.77981
110.6739,50.95036
125.2747,50.20133
140.65,49.54774
156.6973,48.99244
174.3146,48.2728
192.1764,47.61543
210.3529,47.13569
229.0379,46.54464
247.1249,45.94014
263.5541,45.40276
278.7838,44.63391
292.334,43.95994
303.5136,43.37111
312.692,42.88951
320.2479,42.23209
324.4709,41.7702
325.13,41.31937
321.8196,40.83856
314.2173,40.45438
301.6001,39.96215
285.5716,39.23766
266.1414,38.56898
244.6514,38.02959
222.0472,37.57222
199.2599,37.06599
177.1982,36.58032
155.8681,36.14182
135.7902,35.8041
117.63,35.48427
101.3451,35.09503
87.3914,34.76785
75.58495,34.38496
65.88819,34.16232
58.11989,33.84173
52.0619,33.46667
47.68968,33.04243
44.34575,32.83554
41.65612,32.48219
39.66372,32.08957
38.28231,31.63416
36.87449,31.45434
35.83654,31.22434
34.94268,31.05841
34.24714,30.84707
33.63666,30.5115
33.13741,30.35592
32.5499,30.25383
31.83706,29.98912
31.33617,29.80086
30.74152,29.60076
30.1513,29.47232
29.65636,29.29679
29.13369,29.0784
29.03858,28.74385
28.80333,28.33011
28.68405,28.12848
28.53453,27.74563
28.3835,27.50283
28.41796,27.26302
28.3785,27.08877
28.49684,26.90696
28.68027,26.81883
28.8009,26.74963
29.15866,26.59399
29.19191,26.36153
29.2986,26.27926
29.56035,26.05228
29.79193,25.86127
29.99135,25.63779
30.35151,25.53038
30.71473,25.28134
31.33374,25.16158
31.8958,25.08542
32.6011,24.94378
33.20981,24.67878
34.07283,24.63348
35.05488,24.55606
36.04663,24.45321
36.83076,24.46665
37.98085,24.41187
39.08854,24.28973
40.44449,24.21269
41.66251,24.12522
43.2342,24.00472
44.89377,23.81111
46.91675,23.73064
48.89026,23.67827
51.3625,23.54968
55.00621,23.44858
60.78937,23.32482
67.45579,23.21245
76.93469,23.14159
89.78162,23.14932
108.1065,23.16114
132.5022,23.16741
163.1454,23.17502
200.3711,23.17718
243.9467,22.99849
291.2039,22.79263
338.1341,22.56873
378.441,22.3516
410.5762,22.23234
429.4778,22.1543
434.5762,22.12691
424.2587,22.12537
401.0224,22.16416
367.8916,22.31325
328.8126,22.28052
286.2986,22.26696
243.6584,22.16912
203.4726,22.25918
168.3684,22.31005
138.6168,22.26512
115.0981,22.20455
96.43207,22.20534
83.11102,22.18099
73.37795,22.22804
66.56516,22.05376
61.43027,21.92049
57.54845,21.74965
54.54342,21.73759
52.24219,21.54759
50.74192,21.25261
49.5243,21.10089
48.23606,21.0605
47.05144,21.02001
45.9033,20.94066
