EL1: Electronic Ladder,A1: 60WkDry_F_2,B1: 60WkDry_F_3,C1: 72WkDry_F_2,D1: 72WkDry_F_3,E1: 60WkFrozen_F_2,F1: 60WkFrozen_F_3,G1: 72WkFrozen_F_2,H1: 72WkFrozen_F_3,A2: 24WkDry_F_3,B2: 36WkDry_F_3
0.6224704,0.05113459,0.1434069,0.2102132,0.0705061,0.09422898,0.3215935,0.07583141,0.4825592,0.2601676,0.06426001
0.6738214,0.1195822,0.07831287,0.1099784,0.1405978,0.09089327,0.320236,0.1440163,0.3308296,0.2171164,0.08235645
0.6119556,0.06458712,0.120574,0.09607339,0.1434574,0.06375217,0.2673447,0.1966362,0.2158966,0.3040738,0.05902767
0.3347888,0.08077478,0.1591873,0.1580007,0.2051387,0.03381157,0.2240994,0.1685295,0.2221632,0.3044758,0.0990715
0.1531692,0.1239939,0.1544762,0.1778231,0.2454848,0.01206493,0.1086891,0.1842599,0.1731858,0.2954364,0.1200366
0.07856035,0.04074526,0.1998258,0.159425,0.2059131,0.08783484,0.03681397,0.1432357,0.1470313,0.207746,0.2089825
0.02700949,0.01473284,0.2370596,0.1313746,0.2241757,0.1995809,0.1100347,0.05511475,0.03229713,0.2450027,0.3089695
0,0,0.1893787,0.04690003,0.2167161,0.3003416,0.1539137,0.05039644,0.08021832,0.1722741,0.2201371
0,0.03751612,0.196435,0.01570487,0.2156582,0.3558531,0.2313316,0,0.09089804,0.1815729,0.2017307
0,0.04067421,0.2053785,0.08110523,0.1719894,0.3119373,0.2811873,0,0.08141136,0.2328105,0.1530113
0,0.120616,0.1621475,0.1145067,0.1162047,0.2235808,0.3096159,0.02860498,0.007681847,0.2570486,0.1168151
0.04109764,0.1735749,0.09168243,0.08883786,0.07645965,0.1872604,0.3403862,0.1912065,0,0.2103357,0.08548498
0,0.04293633,0.1550698,0.1369212,0.003023863,0.09130907,0.3224046,0.2638059,0,0.2413969,0.01944542
0.02638292,0.08139372,0.2265935,0.1303077,0,0.08764887,0.3263385,0.2555218,0.01651859,0.1011124,0
0.06229401,0.1566839,0.2135015,0.1213429,0,0.1644681,0.2472565,0.2531075,0.07693434,0.1025281,0.01396227
0.04121494,0.1680889,0.1453385,0.1039367,0.03953719,0.1708446,0.1426966,0.2351818,0.1189456,0.03125906,0.02869558
0,0.1466208,0.03685427,0.0616262,0.05240989,0.1797128,0.05285239,0.1529207,0.1596985,0.0535512,0.09680796
0,0.08345032,0,0.1030812,0.05519629,0.2373009,0,0.2084289,0.256474,0.03102875,0.05838013
0,0.115994,0,0.1554406,0.08973265,0.2717986,0.02789569,0.09816837,0.2736588,0.03987217,0.1098428
0,0.1183219,0,0.1716383,0.1242163,0.2413473,0.03949714,0.1473866,0.2002802,0.160275,0.1178436
0,0.1078219,0,0.08471251,0.1352389,0.1264236,0.01386046,0.1501966,0.1510739,0.2156343,0.06400347
0,0.03646135,0,0.1414275,0.04048753,0.03603554,0.07554126,0.2858534,0.151782,0.2568808,0.08920765
0,0,0,0.2054853,0,0,0.1380599,0.2948914,0.1224332,0.3116517,0.1520443
0,0,0.02779961,0.1422598,0.03147817,0,0.1711886,0.2859969,0.02748156,0.3224883,0.1308537
0,0,0.02447319,0.1161427,0.06927586,0.01681876,0.1923521,0.2728963,0.08006001,0.3890104,0.1079435
0,0,0.02738857,0.07030249,0.1933613,0,0.1350443,0.2308455,0.06482267,0.3250279,0.1864085
0,0.02860069,0,0,0.1351876,0,0.07887626,0.2178531,0,0.2959042,0.2439065
0.3040228,0,0.01538897,0.01744294,0.1456428,0,0.06710029,0.2478495,0.003180027,0.2495379,0.2015257
