EL1: Electronic Ladder,A1: 32WkDry_F_2,B1: 32WkDry_F_3,C1: 36WkDry_F_2,D1: 36WkDry_F_3,E1: 40WkDry_F_2,F1: 40WkDry_F_3,G1: 44WkDry_F_2,H1: 44WkDry_F_3,A2: 48WkDry_F_2,B2: 48WkDry_F_3,C2: 52WkDry_F_2,D2: 52WkDry_F_3,E2: 32WkFrozen_F_2,F2: 32WkFrozen_F_3,G2: water,H2: 36WkFrozen_F_3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02077436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003890991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004443645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001514435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01468706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04919553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07778025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06287456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.143337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3017426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3133645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5862446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6384296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.623435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7074766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7385635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6728959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.603312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.523931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4217887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5978866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5986304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.463788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5425901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5230641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
