EL1: Electronic Ladder,A1: P3 F1,B1: P3 H8
0.2690439,0.8324184,0.2737103
0.2967463,0.9280357,0.198513
0.3786311,0.9602451,0.1983585
0.5295024,0.7837429,0.2386227
0.49472,0.5282459,0.1525478
0.4089923,0.1935539,0.1390915
0.4777865,0,0.124752
0.3568201,0,0.09737778
0.3574138,0,0.01163101
0.34062,0,0
0.3358574,0,0
0.1729608,0,0
0.147727,0.1478748,0
0.179019,0.09602165,0
0.1588535,0.07165146,0.07402992
0.007524014,0,0.09930038
0.06429148,0,0
0,0,0
0.09177399,0.0444355,0
0.0987606,0.0585537,0
0.02074575,0.05530548,0
0,0.1157551,0.1670666
0.09104633,0.1682701,0.3553467
0.1603823,0.11446,0.5956249
0.2335615,0.0632534,0.9739418
0.06519175,0,1.109659
0,0,1.210796
0,0,1.335897
0,0,1.146618
0,0,0.9996338
0,0,0.7312813
0.1048288,0,0.4660854
0.1946735,0.24613,0.1338272
0.3086977,0.5505314,0
0.3913779,0.7796879,0.03347397
0.3043423,0.8124046,0
0.37289,0.7452297,0
0.2512898,0.7419472,0
0.1654816,0.6265697,0
0.1427932,0.6523037,0
0.0832057,0.5791912,0
0,0.532423,0
0,0.6539822,0
0,0.7931271,0
0,0.8203545,0.05930138
0,0.7213821,0
0.09038401,0.7314434,0.0708065
0.01836443,0.8596878,0.2142239
0.1315432,0.7934799,0.3299656
0.1726341,0.8396339,0.2584591
0.2067938,0.7728291,0.143404
0.1392446,0.6388874,0
0.07437706,0.5926418,0
0.194366,0.453186,0
0.1250486,0.231884,0.017416
0.1101828,0.08021927,0.3608894
0.1319652,0,0.8196125
0.05555534,0,1.198231
0.005750179,0,1.506975
0,0,1.526329
0.1261139,0,1.441156
0.2172995,0.01908302,1.399567
0.2973599,0.07909203,1.556227
0.3302536,0.0832634,1.719482
0.2756705,0.0182457,1.863594
0.1657648,0,2.050407
0,0,2.187286
0,0,2.013935
0,0,1.882135
0,0,1.677841
0.05043316,0,1.509403
0.1483798,0.0304718,1.480906
0.2547216,0.1640415,1.655485
0.291894,0.1275501,1.569202
0.3965745,0.1060677,1.595078
0.4153886,0,1.590399
0.456738,0,1.545837
0.6670008,0,1.306305
0.6705513,0,1.205647
0.6792159,0.1872501,1.167627
0.5804296,0.4589081,1.2367
0.525362,0.688242,1.378325
0.5910625,0.8494968,1.548565
0.6398182,0.757658,1.726442
0.6327806,0.6989918,2.160177
0.6581798,0.5819206,2.511703
0.6589808,0.4113941,2.575005
0.6774168,0.1935749,2.513083
0.5427151,0,2.261568
0.4975266,0,1.847115
0.42869,0,1.347694
0.336771,0,0.8603783
0.3369617,0,0.5788231
0.1899681,0.06534386,0.4330139
0.1231194,0.509243,0.4765205
0.2196927,0.796505,0.5780621
0.3208256,0.70681,0.6321526
0.2842078,0.5998173,0.6624489
0.2832747,0.3783646,0.6875801
0.2630801,0.2480564,0.8763466
0.2557712,0.1403236,0.9713821
0.0422349,0.1612034,1.224977
0,0.4405727,1.546593
0,0.6599674,1.693438
0,0.7892628,1.83333
0,0.8269348,1.840006
0.05741119,0.7851658,1.790142
0.03095388,0.7518902,1.564009
0.04023933,0.7835217,1.368061
0.0337534,0.8527336,1.341785
0.08335352,0.8844604,1.264673
0.008488655,0.9970703,1.299751
0.1171288,1.228256,1.412949
0.3361812,1.406643,1.536551
0.5138278,1.566324,1.557116
0.6899028,1.836456,1.511951
0.8195195,2.248785,1.442152
0.7076168,2.713882,1.356621
0.5635376,3.326864,1.387291
0.4010873,3.912111,1.475517
0.1906056,4.795954,1.593452
0,5.880379,1.712391
0,7.113098,1.964939
0.0883379,8.301876,2.277559
0,9.362301,2.56987
0,10.43576,2.815052
0,11.46486,2.995861
0.01759577,12.39688,3.133427
0.1006603,13.23388,3.3354
0.004097462,13.72821,3.480581
0,14.27101,3.559677
0,14.76578,3.792725
0,15.06957,4.17767
0,15.28325,4.474571
0,15.45274,5.05851
0,15.83441,5.736044
0,16.17843,6.525251
0.1174908,16.58588,7.263128
0.1024199,16.99022,7.842508
0.06477284,17.18469,8.171988
0.07107067,17.26551,8.450304
0.1819453,17.17303,8.69544
0.3298547,16.88941,8.818407
0.2333026,16.47245,8.692728
0.2720637,15.9407,8.719961
0.3218689,15.46297,8.805803
0.4563558,14.77895,9.045237
0.3584759,14.29023,9.291162
0.3213491,13.86887,9.226873
0.1099298,13.2747,8.955137
0,12.62338,8.779325
0,12.05825,8.357103
0,11.4236,7.841288
0,10.49101,7.251543
0,10.36673,6.66847
0,11.67484,6.101801
0.06018877,14.0425,5.784672
0,16.52583,5.583323
0,14.08009,5.356703
0,0,5.343
0,0,5.505085
0,0,5.542944
0.0526017,58.23737,5.423153
0.211851,150.2794,5.363932
0.3309728,241.973,6.000156
0.3165656,319.6767,7.132891
0.2952315,372.2878,8.63553
0.08128011,388.4656,9.117456
0,360.3429,3.788298
0,297.5818,0
0,242.3957,0
0,199.7578,0
0,162.3943,0
0,122.8899,0
0,84.64533,0
0,50.12708,0
0,21.96663,0
0,0,0
