EL1: Electronic Ladder,A1: 4Wk,B1: 8Wk,C1: 12Wk,D1: 16Wk,E1: 20Wk,F1: 24Wk,G1: 28Wk,H1: 32Wk,A2: 36Wk,B2: 40Wk,C2: 44Wk,D2: 48Wk,E2: 52Wk
0,0.06081772,0.2821693,0.2891631,0.4032888,0.1971841,0.3588085,0.4292598,0.3217368,0.07355595,0.2424645,0.4290628,0,0.1916866
0.004436493,0.09325552,0.394331,0.2930346,0.393229,0.1360679,0.3070755,0.4450078,0.3033361,0.1450987,0.2025194,0.395956,0.03788948,0.3247929
0.1063318,0.1326017,0.3759503,0.1563373,0.3806252,0.1080885,0.1454363,0.4613361,0.3330326,0.3080316,0.1221752,0.3863516,0.0877099,0.2895026
0.03486204,0.1038489,0.356051,0.06717682,0.2015109,0,0.07637501,0.3031106,0.2796917,0.3151803,0.1087446,0.2345858,0.1480122,0.4239807
0.07004738,0.101202,0.411551,0.04355764,0.1768713,0,0.05670214,0.2787509,0.3147631,0.4008813,0.1043057,0.242219,0.2693558,0.4699297
0.1939974,0.165616,0.4134169,0,0.07712317,0.07904482,0.06358433,0.2390132,0.250844,0.4756913,0.2071199,0.2386923,0.3605294,0.5537324
0.2114682,0.2049837,0.3303728,0,0.1394835,0.1080551,0.1307364,0.1107998,0.3301558,0.4694676,0.1888289,0.2585649,0.4409428,0.5047565
0.3254375,0.2695279,0.2892752,0.02515173,0.144382,0.2110367,0.1365871,0.03750563,0.3713861,0.4710774,0.2146268,0.3751049,0.4710984,0.531539
0.3272204,0.3622222,0.1831303,0.04862833,0.2080278,0.4468575,0.06306791,0.1340246,0.3744898,0.515471,0.2445264,0.4091558,0.4194098,0.4550796
0.3582625,0.3825293,0.1239347,0.106823,0.2530041,0.5047512,0.1366611,0.1108346,0.3132887,0.3261514,0.2207785,0.6199799,0.3589015,0.4655414
0.6224704,0.380239,0.1130533,0.05408144,0.2372928,0.5360174,0.1903381,0.1691442,0.2864761,0.2464266,0.2569647,0.8212957,0.3833385,0.4786396
0.6738214,0.4528027,0.2078977,0.1254344,0.1883435,0.5071177,0.2374005,0.131299,0.1511264,0.3023553,0.1908464,0.7822533,0.420404,0.4495444
0.6119556,0.4483528,0.1817327,0.1861439,0.1915765,0.3745799,0.2245231,0.121192,0.07320929,0.2725406,0.1083269,0.7907953,0.3695459,0.2521029
0.3347888,0.3474121,0.280973,0.1820946,0.2883177,0.1746407,0.2134705,0.1081352,0,0.2413745,0.05762005,0.6978226,0.4380975,0.2074866
0.1531692,0.3152785,0.3604913,0.3116384,0.2587972,0.118289,0.2884173,0.1643591,0.0174098,0.3140206,0.03196478,0.5672922,0.4587722,0.1341238
0.07856035,0.1292934,0.422585,0.2961178,0.1093893,0.02699757,0.259831,0,0,0.288836,0.01309776,0.4250059,0.3410497,0.1974182
0.02700949,0.000626564,0.4208779,0.3175139,0.06185579,0,0.3189349,0,0.04087162,0.2550082,0,0.2845249,0.2871008,0.1278405
0,0,0.3367205,0.2683625,0.07421446,0.03663635,0.2047606,0,0.09444284,0.2330217,0.002329826,0.2243042,0.1375728,0.09789467
0,0.06636,0.3079829,0.2753797,0.06123734,0.1576624,0.07460356,0.03681183,0.1662998,0.2015128,0,0.07260323,0.03494453,0.05706644
0,0,0.3253155,0.3683209,0.02697754,0.2209678,0,0,0.2804079,0.0805912,0.08229971,0.1450367,0.036973,0.2081175
0,0.06266928,0.3099389,0.2938437,0,0.2518344,0,0.06404829,0.2901506,0.02840281,0.1326118,0.07526588,0.1140499,0.2035069
0.04109764,0.05092049,0.3242388,0.2213182,0,0.3304391,0.006000996,0.006174564,0.190815,0,0.1388421,0.02697468,0.08927011,0.1683674
0,0.1440792,0.3289294,0.2531857,0.07900953,0.3424764,0,0.1424565,0.1517177,0,0.1139412,0.02124882,0.09511852,0.2191534
0.02638292,0.1886492,0.3542461,0,0.1992478,0.2580743,0.04864979,0.2181458,0.182466,0,0.1685925,0.06271648,0.2522826,0.2415853
0.06229401,0.2432895,0.3116951,0,0.168879,0.2247968,0.0975728,0.2454271,0.1553264,0.01748896,0.2069445,0.1129608,0.3425169,0.3057861
0.04121494,0.2619629,0.1955161,0,0.1685734,0.1330914,0.05007076,0.2509618,0,0.1355085,0.1837888,0.1105251,0.3790669,0.3977408
0,0.2484741,0.1482387,0,0.1419854,0.05665398,0.09278727,0.2450256,0,0.271358,0.1365037,0.1003494,0.3954949,0.3409586
0,0.2737713,0.1013761,0,0.1953812,0,0.1093559,0.1856456,0.09040737,0.3712211,0.08490944,0.129756,0.472209,0.2835793
0,0.3177891,0.2396131,0,0.1256413,0.0501709,0.07647371,0.2130299,0.1294603,0.5205188,0.1185794,0.09396553,0.4676237,0.3500085
0,0.2755113,0.2619462,0.05458736,0.1913505,0.03888559,0.0346489,0.1728592,0.1744413,0.655046,0.3222089,0.1328831,0.4055514,0.4341559
0,0.2253251,0.2780814,0.1377363,0.1798272,0.03543854,0.07573652,0.2129698,0.0901022,0.7157779,0.2713747,0.1182461,0.3037806,0.3274193
0,0.1491752,0.2717791,0.1798978,0.2077508,0.07569647,0.07946873,0.1073513,0.09945202,0.7660117,0.281661,0.04109478,0.2256885,0.2816181
0,0.1733198,0.2601357,0.2489829,0.1869397,0.09970331,0.05265903,0.09463263,0.07921505,0.8187604,0.2021632,0,0.1428151,0.3000355
0,0.08539963,0.2018924,0.07495499,0.189661,0.08529329,0.1608911,0.06002045,0.0981884,0.7297416,0.1635032,0.1298819,0.1714644,0.2701735
0,0,0.1198211,0.05537128,0.1510377,0.1250873,0.1854501,0.01657963,0.1082187,0.5644107,0.09233809,0.1635857,0.2294407,0.3128409
0,0,0.02329063,0.01178551,0.1632118,0.08378458,0.2087779,0,0.06240368,0.4637256,0,0.1484823,0.3204751,0.2369499
0,0,0.05721283,0.1079144,0.2029181,0.2182064,0.2396436,0,0.1735477,0.4382463,0,0.1444025,0.2450209,0.2292032
0.3040228,0,0.0655551,0.2302585,0.2171159,0.2640786,0.2984686,0,0.1909394,0.4223199,0.02495098,0.0957737,0.2832837,0.2021489
1.405515,0,0.1273308,0.2675195,0.2644453,0.3046422,0.2649512,0.01158905,0.1273546,0.4415803,0.2253513,0.01479721,0.215981,0.3022056
2.834507,0.08509064,0.1272502,0.2348313,0.2976995,0.2817478,0.0857358,0.03335094,0.09908104,0.4999833,0.4851503,0.05885887,0.1618505,0.3778439
4.043449,0.1429958,0.1281996,0.3541288,0.2872167,0.3345037,0,0.06114912,0.09143639,0.5380521,0.5012136,0.1666031,0.1064291,0.3819585
5.409372,0.2154436,0.127213,0.2447925,0.2541103,0.3106575,0,0,0.1449366,0.4895368,0.4850364,0.08359432,0.03116369,0.3263531
7.060751,0.2783656,0.244432,0.1197176,0.2817636,0.3071198,0,0.04750586,0.04574823,0.3296466,0.34832,0.1386986,0,0.3051882
9.01142,0.2406611,0.252212,0.03044415,0.2418609,0.2905931,0.09628773,0.1419058,0,0.1720243,0.08848429,0.233633,0,0.3102355
11.38547,0.2483621,0.295393,0.01222992,0.1040602,0.2703714,0.1357074,0.2229667,0.02017832,0.007331848,0.03784752,0.2955704,0.08691597,0.2765322
14.12005,0.2807221,0.2716632,0,0.0761838,0.2289238,0.226747,0.291348,0,0,0,0.2565432,0.190906,0.1474524
17.26014,0.2420154,0.308671,0,0.08180666,0.3246288,0.3359981,0.2570415,0.01310182,0,0,0.1949959,0.1677227,0.1155143
20.97051,0.2551637,0.2091074,0.04504395,0,0.3428249,0.4927678,0.1377501,0,0,0,0.1434612,0.1817279,0.05826426
25.3254,0.2755928,0.1595397,0.07739878,0,0.210681,0.5568309,0.1726069,0,0,0.0838685,0.08913803,0.2591581,0.04898024
30.42628,0.3059621,0.06902075,0.2178464,0,0.0785594,0.4211764,0.1443553,0,0,0.09820795,0.1399546,0.2007866,0.1266904
36.0128,0.2600212,0,0.3235254,0,0.1199679,0.3877225,0.1613007,0.09488392,0.1545801,0.1265426,0.1536903,0.119204,0.1300235
42.3921,0.2135992,0,0.2720408,0.1188302,0.1342316,0.3392406,0.1580329,0.2532372,0.2730618,0.1873331,0.1141815,0,0.1451306
49.75721,0.1766562,0,0.231164,0.1749725,0.131794,0.2557364,0.2234135,0.2953658,0.2960796,0.2429094,0.09370041,0,0.1706448
58.11675,0.05914164,0.02365303,0.2894788,0.1663651,0.1724906,0.2569585,0.2865052,0.3162031,0.3063278,0.2407203,0.02958775,0.0290556,0.1540971
67.09781,0.05784273,0.09868479,0.3670335,0.1339655,0.1886768,0.2413454,0.3081527,0.4220824,0.3633356,0.3882933,0.1469393,0.0140481,0.2039604
76.59318,0.1105499,0.09948921,0.4293103,0.08806419,0.122324,0.2733617,0.2980285,0.2812691,0.3805676,0.3356023,0.206748,0.1087523,0.2737503
86.53235,0.04743147,0.1281815,0.4856625,0.082551,0.1870222,0.3385401,0.2777972,0.2047238,0.2709217,0.2811532,0.3371696,0.160984,0.3447938
96.71154,0.1258478,0.1432705,0.347888,0,0.2686353,0.470912,0.304913,0.14293,0.1022797,0.2828054,0.4800596,0.2029705,0.349875
107.3292,0.0629468,0.121242,0.328105,0.1080537,0.2067723,0.4982553,0.3798289,0.1129899,0,0.1814785,0.560298,0.2667422,0.2109146
118.0085,0.1079645,0.04992962,0.2946672,0.1508703,0.1487107,0.4312472,0.4259171,0.1148767,0,0.0727272,0.5549068,0.2010765,0.2013845
128.5506,0.06951571,0.005731583,0.2787848,0.1980643,0.2407699,0.501893,0.430604,0.05046177,0,0,0.4693642,0.1347766,0.03409672
138.9781,0.05372763,0,0.1763539,0.2584882,0.2213831,0.4027524,0.3598742,0.02561951,0,0,0.2911377,0.003827095,0
148.6813,0,0.001740932,0.1042604,0.2216959,0.2624412,0.3089938,0.3675413,0.004915237,0,0.01036072,0.09734154,0,0
158.0438,0.004772663,0.01996946,0.2160554,0.1910744,0.1438375,0.2957525,0.3227019,0.04387236,0,0,0,0.03396273,0.02184439
165.8421,0,0,0.2764287,0.179595,0.05447435,0.2715549,0.2002778,0.04353189,0,0,0,0.03152037,0.05818605
172.4071,0,0,0.3816051,0.1327448,0,0.3975325,0.09210777,0,0,0,0,0.1553493,0.0398097
177.1938,0,0,0.4303818,0.09757471,0.003670692,0.4153118,0.1264586,0,0,0.09734344,0.1041603,0.2236986,0.04765129
180.721,0.0436883,0.03860283,0.3654494,0.06186581,0,0.4051771,0.1489754,0.06750536,0.001333237,0.2487798,0.202342,0.2847981,0
182.7976,0.05053711,0.09219646,0.3716626,0.08882475,0,0.3657451,0.2019167,0.1427064,0,0.2843676,0.300518,0.3048096,0
184.0034,0.08944178,0.03998041,0.2682776,0.06246471,0.01798391,0.2694278,0.1856766,0.1783791,0,0.3158369,0.2562304,0.2686138,0.04582882
183.7612,0,0,0.210043,0.04514885,0.03822756,0.3159876,0.08575869,0.1548052,0,0.3165832,0.2437487,0.24406,0
182.0963,0.00696373,0,0.08666515,0,0.06795311,0.252965,0.06856441,0.1526456,0,0.3006301,0.128397,0.186862,0
179.2551,0.04164457,0.01556683,0,0,0.1343493,0.1311607,0.1455688,0.2399793,0,0.3112226,0.1613493,0.2376542,0
175.4089,0.1166105,0.0618577,0,0.02020597,0.02006721,0.08151674,0.1542873,0.2695732,0,0.2459836,0.2025938,0.3110847,0.0697217
169.8648,0.1069593,0.03914261,0,0.1189008,0.04068899,0.03941202,0.0819459,0.2696209,0,0.1154556,0.1913891,0.2419319,0.1164699
163.6694,0.2011762,0.1674685,0,0.1603022,0.08788109,0.1014075,0.08318567,0.3262358,0,0.02111006,0.2348089,0.2497373,0.1192608
156.3133,0.2627325,0.1672149,0,0.1979442,0.1233783,0.00450325,0.1773491,0.3250451,0,0.03380251,0.3214998,0.137898,0.1317863
148.2467,0.2165995,0.1886458,0,0.2008333,0.1178169,0,0.2317443,0.3618126,0,0.006530285,0.3598537,0.2181664,0.1797328
139.6879,0.1648107,0.1926732,0.05359221,0.0968523,0.1814322,0,0.2515478,0.431128,0,0.002510548,0.3640442,0.2256508,0.2764363
131.4263,0.1271338,0.1042023,0.02325058,0.09497309,0.1910067,0,0.1285124,0.4046888,0,0,0.3382473,0.2566814,0.309638
122.399,0.03701687,0.04846525,0.0357542,0.04958296,0.2016358,0.1220794,0.1162567,0.3044281,0,0,0.2816916,0.3187547,0.2998919
113.4277,0.01117802,0,0.02026176,0.02443933,0.2588158,0.2757678,0,0.2212334,0,0,0.2613583,0.3106403,0.2703538
104.7552,0.03945684,0,0.06179428,0,0.2419281,0.2903275,0,0.1760263,0,0.09369707,0.3332481,0.2926645,0.1645069
96.02428,0,0,0.04011726,0,0.1713228,0.3634467,0,0.05377626,0,0.1734414,0.3448381,0.2401447,0.04402637
87.56607,0,0,0,0,0.1136417,0.3761134,0,0,0,0.09560871,0.3440838,0.1905036,0
79.93262,0,0,0,0,0.07719374,0.3278909,0.02962637,0,0.378952,0.1588216,0.2241459,0.164125,0
72.51277,0,0,0,0,0.01324463,0.2970939,0.1953115,0.07378864,0.6674509,0.1827288,0.1300077,0.1994514,0.02946663
65.42696,0,0,0.04899693,0,0,0.2903738,0.2472248,0.1030855,0.9944572,0.1387186,0.1880808,0.3407183,0.172905
58.7887,0,0,0.04729652,0,0.02002764,0.325305,0.3103185,0.079319,1.376747,0.08249474,0.1753178,0.3773742,0.194262
53.03083,0,0.01035929,0.07823229,0,0,0.2630248,0.2962627,0.06566,1.790737,0,0.1667929,0.379168,0.229588
47.41869,0.0175066,0,0.04878426,0,0,0.2841415,0.3055224,0.05365181,2.244529,0.05311298,0.1110868,0.2677484,0.2522769
