EL1: Electronic Ladder,A1: 4WkDry_F_2,B1: 4WkDry_F_3,C1: 8WkDry_F_2,D1: 8WkDry_F_3,E1: 12WkDry_F_2,F1: 12WkDry_F_3,G1: 16WkDry_F_2,H1: 16WkDry_F_3,A2: 20WkDry_F_2,B2: 20WkDry_F_3,C2: 24WkDry_F_2,D2: 24WkDry_F_3,E2: 28WkDry_F_2,F2: 28WkDry_F_3
0.04121494,0.273273,0.2276511,0.1132145,0,0.1373711,0.1723266,0.03251743,0.2611151,0.1870878,0.1657352,0.2515059,0.3695288,0.2368689,0.1790795
0,0.2869291,0.2381158,0.03536892,0.02686548,0.06429672,0.09812498,0,0.3146906,0.2390187,0.1987071,0.3031702,0.1953001,0.1550183,0.2040501
0,0.2095079,0.2554884,0.0639019,0.09289265,0.1220202,0,0,0.2891541,0.1711328,0.2508426,0.2241135,0.2163143,0.1462243,0.1819978
0,0.1818581,0.2267861,0.03936577,0.05061865,0.1370654,0,0,0.2902751,0.2397511,0.300034,0.1772757,0.1321492,0.06560612,0.1682143
0,0.1580639,0.2311792,0.03043222,0,0.1213846,0.005862236,0.03835297,0.2613258,0.2897575,0.2398314,0.06119442,0.1637759,0,0.09311104
0,0.1774192,0.274333,0.003015995,0,0.184361,0,0.1608253,0.1808653,0.2373185,0.1627159,0,0.1595712,0,0.1394815
0,0.2145391,0.2263732,0,0.04405069,0.2491097,0.03094912,0.07217979,0.154532,0.1600263,0.1077266,0.01239681,0.2666059,0,0.1378264
0,0.2124691,0.2216735,0,0.08491898,0.2621059,0.1431212,0.006833076,0.150269,0.1488583,0.145915,0.04681158,0.3001699,0.07296205,0.1260653
0,0.2900114,0.2033038,0.07104778,0.1008568,0.3559575,0.1794047,0.0004887581,0.1743922,0.1117074,0.1383328,0,0.3092256,0.1116977,0.0578084
0,0.3360949,0.2066855,0.1846824,0.07412052,0.3849421,0.3000746,0,0.187891,0.1152442,0.09500885,0.02157211,0.2967677,0.2362351,0.07539797
0,0.2763724,0.1865721,0.2311006,0.1238308,0.292418,0.2772474,0,0.1575565,0.09716225,0.05700779,0.07085133,0.2954288,0.2795982,0.03481483
0,0.1386867,0.1626539,0.3212762,0.1169825,0.3183603,0.2520428,0,0.2828755,0.01042604,0.1092486,0.1150632,0.1497679,0.2127531,0.04184723
0.3040228,0.08328676,0.09274244,0.3427515,0.09825182,0.4841447,0.1876082,0,0.3428121,0,0.1717205,0.1391058,0.08494186,0.2263277,0.1173444
1.405515,0.08506155,0.01649284,0.2736864,0.01615047,0.4868407,0.09220362,0.02485561,0.2924056,0.03705263,0.2484455,0.1476212,0,0.1970437,0.1208625
2.834507,0.08932209,0.01650667,0.2066965,0,0.4729018,0.07273674,0.1397276,0.2360067,0.2229831,0.1525216,0.1171455,0,0.119705,0.1532316
4.043449,0.1603646,0,0.228457,0.1246886,0.428412,0,0.1399937,0.2284465,0.261502,0.09777641,0.1945157,0.01059294,0.05287457,0.2089653
5.409372,0.2048912,0,0.1882548,0.2238379,0.4025159,0,0.1176181,0.1712809,0.2260306,0.04215384,0.2189722,0.07099867,0,0.1583271
7.060751,0.1941285,0.107676,0.1333208,0.312408,0.3035111,0.005009651,0.09248543,0.1413302,0.2778921,0.03024244,0.230062,0.02014446,0,0.2062144
9.01142,0.2533069,0.2145238,0.1738348,0.2762976,0.2183113,0,0.1181345,0.08418703,0.3104095,0.01129723,0.1838617,0.01613998,0,0.2610288
11.38547,0.2022738,0.3519125,0.1239176,0.2731571,0.1481876,0,0.02176714,0,0.3276443,0.07914066,0.1938272,0,0.01355529,0.2450347
14.12005,0.1382871,0.4811101,0.1703048,0.2955341,0.02927303,0,0,0,0.3328314,0.1695428,0.1583228,0.02579594,0.06892848,0.1996055
17.26014,0.08444357,0.5610566,0.2267008,0.2534204,0,0,0,0.1361432,0.233695,0.3158317,0.1088543,0.006458759,0.02143955,0.2178068
20.97051,0.01553631,0.4709659,0.2050872,0.1302686,0,0.03183651,0,0.1340904,0.2310028,0.3392887,0.08129311,0.01149893,0.03741074,0.1823516
25.3254,0.0008907318,0.3325877,0.1814198,0.04748392,0,0.08189249,0,0.1001906,0.2366805,0.4004521,0,0.01131392,0.1602764,0.1476126
30.42628,0,0.2717962,0.1251993,0,0.03070402,0.08764362,0,0.08467245,0.3637986,0.261622,0,0.1004624,0.2212334,0.09957075
36.0128,0,0.134316,0.1131067,0,0.1559939,0.02819395,0,0.1077914,0.2909107,0.228044,0,0.1543112,0.1769304,0.008163452
42.3921,0.03166914,0.05367899,0.05175257,0,0.2233453,0,0,0.00565815,0.1548657,0.1813073,0,0.1135287,0.1441782,0
49.75721,0,0.104104,0.01085615,0.002373695,0.2717862,0.009763718,0.04294491,0.01511145,0.1885498,0.07613945,0,0.09236336,0.04989243,0.05826664
58.11675,0.005282402,0.06980848,0.0195117,0,0.2549772,0.01941776,0.02247858,0.04047585,0.1714861,0.05094099,0.02114439,0.08241129,0.04486179,0.1486745
67.09781,0.05238342,0,0,0.08074284,0.2804852,0.1245065,0,0,0.1942897,0.001598358,0.09820652,0.1178732,0,0.2887058
76.59318,0.112031,0,0.05788517,0.1003947,0.1860638,0.1806874,0,0,0.1493855,0,0.15769,0.1251359,0,0.3078694
86.53235,0.185864,0.03636742,0.1176085,0.09702015,0.045156,0.2104044,0,0.02259922,0.1164744,0.01652765,0.1760674,0.06412458,0,0.3958793
96.71154,0.1810417,0.008727551,0.1855564,0,0.02520704,0.2882004,0,0,0.1939385,0,0.2539568,0.0953536,0,0.3393006
107.3292,0.2526851,0.07623911,0.1758838,0.0188179,0,0.2341523,0,0,0.2268519,0,0.2650647,0.01137829,0,0.3676972
118.0085,0.2747555,0.1798124,0.1634364,0,0,0.1214685,0,0.03716803,0.2939191,0.009195805,0.3470716,0.05116034,0.04439735,0.3712912
128.5506,0.2753048,0.1322765,0.08841753,0,0,0,0,0.0616889,0.2763672,0.1047683,0.389967,0.01276493,0.05265427,0.3775635
138.9781,0.3015208,0.14324,0.06192017,0,0,0,0,0.1942725,0.1751451,0.1302977,0.373981,0.01512575,0.04499507,0.4346704
148.6813,0.3335094,0.1283913,0.08360624,0,0,0.001586914,0,0.3131285,0.1994152,0,0.3239217,0,0.01197696,0.4654784
158.0438,0.4028554,0.06766796,0,0.03834343,0,0,0,0.3838305,0.1892281,0.001338482,0.2260609,0.02424097,0.06736207,0.5173192
165.8421,0.3316002,0.009920597,0,0.2111926,0.1028786,0.04479551,0,0.3864427,0.1330891,0,0.1398768,0.1182008,0.1160097,0.5817342
172.4071,0.2634969,0.01039839,0,0.1814785,0.09161949,0,0,0.4449887,0.04729676,0.02152443,0.1103897,0.06932926,0.1393571,0.403892
177.1938,0.2977953,0.01148987,0,0.1701889,0.05895233,0,0,0.3341584,0.02512431,0.08574104,0.03880882,0.08896351,0.1118276,0.3818979
180.721,0.1931586,0.0587697,0,0.07620621,0.03864098,0,0,0.3232183,0.05949926,0.11201,0.03893232,0.1642499,0,0.2365451
182.7976,0.1502318,0.1792655,0.08940125,0.09708357,0.06049919,0,0,0.2533474,0,0.1689143,0.01473188,0.1806107,0.0494616,0.1278234
184.0034,0.1049137,0.2756243,0.1828146,0.04439354,0.1000996,0,0,0.2469244,0,0.2054515,0,0.1885467,0.05908966,0.04577923
183.7612,0.009917736,0.2726331,0.165309,0,0.106945,0,0,0.1094975,0.005891323,0.161315,0.01881838,0.1339192,0,0.0661459
182.0963,0.1035638,0.2382116,0.1300278,0.005455017,0.1137457,0,0,0.1640062,0,0.09431791,0,0.1870131,0,0.01659727
179.2551,0.1894159,0.1776314,0.1587205,0,0.09695148,0,0,0.1475968,0.03561807,0.003098011,0,0.1221352,0,0
175.4089,0.2643638,0.1797838,0.1055069,0,0.1463661,0,0,0.1076856,0.1102183,0.02767658,0,0.1148181,0,0
169.8648,0.3373499,0.1078477,0.1344423,0.02067232,0.1679573,0,0,0.06437826,0.09638286,0,0,0.07997561,0.03475261,0
163.6694,0.3765306,0.07596922,0.07679367,0,0.06381321,0,0,0.07486868,0.05035925,0.0109129,0,0.05362034,0.023103,0
156.3133,0.4058895,0,0,0.01395464,0.08478642,0,0.4319048,0,0.01701522,0.06996346,0,0.08093119,0.04109502,0
148.2467,0.276495,0.02219343,0,0,0.1329842,0,1.00428,0,0.06728673,0.1350312,0.03107548,0.03730726,0,0.09754467
139.6879,0.2114038,0,0.05754805,0.0605278,0.1542931,0,1.584907,0,0.005850077,0.1593323,0,0.02684259,0,0.2439179
131.4263,0.1324878,0,0.03456211,0.1162472,0.1791267,0,2.150424,0.02471447,0.08283901,0.1840415,0,0,0,0.2894588
122.399,0.004768372,0.01878929,0.05801249,0.1063914,0.06494045,0,2.826364,0,0.1407828,0.1682863,0,0,0,0.3046927
113.4277,0,0.01623583,0,0.1919503,0.05852413,0,3.54137,0,0.2382002,0.1050062,0,0,0,0.2477303
104.7552,0,0.01696444,0,0.1647339,0,0,4.222872,0.0256567,0.2409725,0.1378927,0,0,0,0.155724
96.02428,0,0.1016011,0,0.120553,0,0,4.946234,0.04536486,0.2263231,0.1264381,0,0.003602982,0,0.07817841
87.56607,0,0.1540651,0,0.03655052,0,0,5.620188,0,0.1823144,0.1247487,0,0.01450634,0,0.05518389
79.93262,0.03149176,0.2730513,0,0,0,0,6.348209,0,0.07579923,0.1779146,0,0.1214709,0,0
72.51277,0.09703636,0.2298789,0,0,0,0,7.240574,0,0.01210594,0.171679,0.08192968,0.1502228,0,0
65.42696,0.1305313,0.3052492,0,0,0,0,7.992676,0,0,0.1215358,0.03971767,0.0908165,0,0.04323196
58.7887,0.1835904,0.3163023,0.04147625,0,0,0,8.818834,0.02432108,0,0.05628395,0,0.02530575,0,0.1424322
53.03083,0.1021533,0.3689327,0,0,0.1300564,0,9.758638,0.01390982,0,0.03814554,0.05284548,0.01790905,0,0.1961169
47.41869,0.08953476,0.3528175,0,0,0.1287384,0,10.85067,0,0.04966164,0,0.04869795,0,0,0.175015
42.51573,0.0508585,0.2782702,0,0,0.2146597,0,11.87158,0.02651119,0.07599688,0,0.06868029,0,0,0.1634369
38.00323,0,0.2218723,0,0,0.219677,0,12.87238,0.05013466,0.0360446,0,0,0,0,0.1079988
34.11943,0,0.202951,0,0,0.3138704,0,13.91174,0.04519224,0,0,0,0,0,0.05610466
30.83343,0,0.1871901,0,0.03440666,0.3045645,0,14.99927,0,0,0,0,0,0,0
28.08009,0,0.1520205,0,0,0.4015913,0,16.19628,0,0,0.03909397,0,0,0,0
25.57552,0,0.08289385,0,0,0.4820995,0,17.32986,0,0,0.04100561,0,0,0,0
23.51604,0,0.1149421,0,0,0.5074606,0,18.30326,0,0,0,0,0,0,0
21.80286,0,0.08127928,0,0,0.6066189,0,19.41109,0,0.02344847,0,0,0,0,0
20.47512,0,0.02385664,0,0,0.7321444,0.3870602,20.59176,0,0.1254296,0.002090931,0.008841515,0,0,0
19.14278,0,0,0,0,0.8822527,1.294183,21.81389,0,0.2748103,0.06653357,0,0,0,0
18.04222,0.008267403,0,0,0,1.051244,2.374645,23.06639,0,0.1589317,0.08141851,0,0,0,0
16.84309,0,0,0,0,1.22284,3.582664,24.40167,0,0.09191895,0.03375053,0,0,0,0
16.03548,0,0,0,0,1.410533,4.864772,25.7108,0,0.03572845,0,0,0,0,0
15.28468,0,0,0,0,1.505385,6.298095,27.16999,0,0.01492691,0,0,0,0,0
14.43121,0,0,0,0,1.740734,7.978396,28.63865,0,0.08606052,0.03007698,0,0,0,0
13.87171,0,0.06168747,0,0,1.927327,9.797418,29.95642,0,0,0.136692,0,0,0,0
13.48894,0,0.1078076,0,0,2.285295,11.78476,31.24106,0,0,0.202651,0,0,0,0
13.46001,0,0.05874395,0.107317,0,2.743671,13.9349,32.62171,0,0,0.3128748,0,0,0.3884411,0
13.14586,0,0,0.8023186,0,3.141265,16.27392,34.06812,0,0.04872084,0.4168744,0,0,1.891136,0
12.79887,0,0,1.643426,0.5330429,3.564198,18.87866,35.52243,0,0.08558369,0.3493266,0,0,3.734928,0
12.60898,0,0.02358437,2.475302,1.121175,4.182552,21.85167,37.14544,0,0,0.2250428,0.3339424,0,5.610329,0
12.22836,0,0,3.427698,1.785528,4.92812,25.0161,38.73374,0,0,0.1056957,0.9082956,0,7.706869,0
11.97549,0.2200813,0,4.395626,2.439102,5.739562,28.4894,40.3449,0,0,0,1.593171,0,9.976875,0
11.68075,0.6537514,0.04171085,5.41296,3.366968,6.715576,32.31515,42.13511,0,0,0.02197027,2.261487,0,12.40771,0.6310902
11.16488,1.133595,0.1229672,6.363987,4.354364,7.851187,36.60598,43.89033,0,0,0,2.940371,0,15.06705,1.366824
10.84782,1.594199,0.1455369,7.430479,5.400078,9.084448,41.22134,45.6722,0,0,0,3.666183,0,17.9,2.191235
10.45394,2.128834,0.138895,8.494017,6.595295,10.57424,46.49627,47.50394,0,0,0,4.525387,0.3348408,20.8468,3.038368
10.1925,2.706645,0.112462,9.728853,7.848362,12.22336,52.2733,49.4084,0.4515705,0,0,5.660704,0.9080935,24.09008,3.874209
9.845958,3.209677,0.02006102,11.0051,9.40839,13.80929,58.63549,51.3846,1.083214,0,0,6.826067,1.599636,27.50583,4.807601
9.430903,3.735859,0.01323795,12.39611,11.08639,15.59329,65.76705,53.36032,1.808042,0,0,8.029051,2.18012,31.30688,5.76184
9.227633,4.271174,0,13.77416,12.82748,17.71964,73.65099,55.51526,2.60535,0,0,9.369148,2.747291,35.46151,6.815026
8.951421,4.772349,0,15.28563,14.8634,20.0012,82.30638,57.63601,3.545286,0,0,10.89248,3.358118,40.03252,7.999003
8.649407,5.246121,0,16.81209,17.04875,22.49929,91.53615,59.84239,4.540522,0,0,12.54994,4.168154,45.05381,9.167912
8.43328,5.660642,0,18.32893,19.58222,25.36824,101.7199,62.15847,5.642236,0,0,14.30728,4.967461,50.34133,10.40646
8.136649,6.225139,0.006400585,19.87026,22.20099,28.40018,112.877,64.59743,6.799316,0,0,16.20359,5.890546,56.15093,11.80975
7.748421,6.742162,0,21.51254,25.11915,31.71901,125.0766,67.20042,8.11014,0,0,18.39254,6.927808,62.15967,13.18265
7.452363,7.384459,0,23.17922,28.23313,35.41171,139.0074,69.86357,9.585083,0,0,20.78099,8.023934,68.66359,14.51302
7.086936,8.036744,0,24.92787,31.58425,39.42797,153.3909,72.67937,11.10932,0,0,23.5715,9.187453,75.50224,15.76073
6.854991,8.602853,0,26.75464,35.35654,43.634,169.3876,75.65099,12.77905,0,0,26.41833,10.38824,82.95932,17.15195
6.527324,9.418851,0.01637268,28.5963,39.34016,48.31212,187.2163,78.84041,14.77032,0,0,29.36062,11.54649,90.99542,18.6729
6.17592,10.10627,0,30.53646,43.5936,53.19032,206.254,82.03607,16.90714,0,0,32.56901,12.64451,99.91357,20.2383
5.929846,10.83685,0,32.52844,48.37643,58.33408,226.9754,85.44838,19.37761,0,0,36.01959,13.74848,109.3243,21.78444
5.731161,11.51177,0,34.53814,53.45971,63.67051,249.4535,88.77251,22.08352,0,0,39.66087,14.98678,119.2257,23.51155
5.530811,12.13384,0,36.57381,59.0976,69.42705,272.7069,92.48529,25.23877,0,0,43.72144,16.05938,129.2318,25.35443
5.314283,12.80883,0,38.73621,65.19482,75.45197,299.0071,96.56329,28.80177,0,0,47.99648,17.14993,139.6043,27.4325
5.039759,13.47278,0,41.03664,71.73081,81.87416,323.4107,100.7158,32.72798,1.229506,0,52.73534,18.39136,149.8145,29.38051
4.879637,14.22923,0,43.2918,78.8328,88.59105,349.6794,104.9333,37.09588,2.772392,0,57.73095,19.65339,160.0463,31.33378
4.533747,15.0467,0,45.40528,86.82801,96.01418,377.2871,109.5923,42.05286,4.346834,0,63.28626,21.08749,169.8669,33.30521
4.246821,15.88679,0,47.59163,95.68505,103.7709,404.2465,114.5459,47.65449,5.96353,0,69.10728,22.44307,178.7555,35.3698
3.987095,16.75596,0,49.8954,105.4194,112.1095,433.091,119.8705,54.07307,7.772121,0,75.28748,23.93477,186.6349,37.4592
3.707324,17.56588,0,52.17102,116.0626,120.868,461.9256,125.4261,61.1497,9.718342,0,81.83466,25.26595,193.0974,39.63157
3.459528,18.51122,0,54.40801,127.561,130.0611,489.7719,131.1898,69.2801,11.53404,0,88.66316,26.71681,197.4149,41.87761
3.27951,19.44832,0,56.58992,140.2529,139.7247,515.6006,137.1854,78.29845,13.45481,0,95.90416,28.14717,199.3862,44.38243
3.214552,20.26426,0,59.02673,154.5771,150.1642,540.723,143.439,88.28574,15.54665,0,103.6884,29.5214,198.23,46.99715
