EL1: Electronic Ladder,A1: Fresh_Mo_F_1,B1: Fresh_Mo_F_2,C1: Fresh_Mo_F_3
11.16488,1.835991,0,0.8123946
10.84782,2.569065,0,1.053376
10.45394,3.454225,0,1.316214
10.1925,4.591347,0.2232151,1.530959
9.845958,5.804612,2.127145,1.745384
9.430903,7.280709,4.561042,1.945155
9.227633,8.952763,7.714734,2.15234
8.951421,10.91369,11.80676,2.491548
8.649407,13.20566,16.9085,2.952151
8.43328,15.92925,23.28415,3.537093
8.136649,19.06375,31.11548,4.220091
7.748421,22.77946,40.61111,5.02821
7.452363,27.20135,52.02282,5.91829
7.086936,32.36807,65.49888,6.922887
6.854991,38.26384,81.10367,8.034922
6.527324,45.21888,98.48145,9.26979
6.17592,53.0174,117.4365,10.72569
5.929846,62.16752,138.2013,12.43505
5.731161,72.39931,160.1978,14.46124
5.530811,83.66119,182.4769,16.79499
5.314283,95.80715,204.4767,19.4959
5.039759,108.3986,225.0439,22.69582
4.879637,121.3141,243.1408,26.4103
4.533747,134.3359,258.2645,30.8826
4.246821,146.2635,268.7161,35.95352
3.987095,156.908,274.2049,41.86945
3.707324,166.0123,274.1034,48.58971
3.459528,172.7371,268.4839,56.14257
3.27951,176.6693,258.0421,64.61726
3.214552,177.7767,243.1166,73.94594
3.010284,175.7227,224.8428,83.88183
3.008267,170.7657,204.232,94.53424
2.798151,163.2576,182.354,105.5948
2.634225,153.9346,160.7108,116.9124
2.382677,142.7324,139.8625,127.9541
2.227367,130.819,120.9911,138.5764
2.095788,118.8991,103.9925,148.1978
1.843846,107.0012,88.92852,156.5191
1.697485,96.01431,76.48743,162.956
1.858475,86.15773,66.19534,167.2349
1.811575,77.42577,57.97223,168.8552
1.964374,70.22559,51.50222,168.1872
1.901066,64.12196,46.20475,164.9541
1.778781,59.48742,42.19131,159.722
1.556797,55.83755,39.23231,152.8074
1.403651,53.17566,36.87597,144.4998
1.308333,51.25489,35.14351,135.5968
1.10693,49.93919,33.81237,126.366
1.049143,48.9482,32.77396,117.1212
1.241197,48.29309,31.91995,108.3626
1.354727,47.86909,31.3374,100.3014
1.502384,47.65274,30.70003,92.98621
1.519122,47.4233,30.09439,86.57768
1.324928,47.55206,29.58051,81.36263
1.076735,47.61095,28.93844,77.01574
0.9952097,47.92385,28.3569,73.47787
0.8940001,48.15213,27.81864,70.90927
0.725214,48.45616,27.30206,68.87654
0.6926012,48.79874,26.76407,67.48427
0.6888208,49.21509,26.2528,66.4996
0.7387056,49.64867,25.66895,65.89198
0.8532467,50.21239,25.16232,65.47695
0.7408857,50.79011,24.7343,65.50109
0.7472887,51.46693,24.45049,65.67023
0.8692646,52.12713,24.12232,65.94431
1.168772,53.03409,23.95975,66.3196
1.190784,53.95237,23.86546,66.7286
1.200372,54.84919,23.64393,67.27718
1.114477,55.82616,23.46471,67.67972
0.9727325,56.79073,23.25628,68.09379
0.8234692,57.75749,23.05733,68.40475
0.8036432,58.71168,23.07954,68.83447
0.7431259,59.84741,23.04618,69.3802
0.7612772,60.85359,23.09458,69.91405
1.037474,62.16753,23.07638,70.56683
1.257266,63.6733,23.21115,71.14574
1.272376,65.04817,23.34124,71.81004
1.354032,66.26283,23.43236,72.53424
1.327152,67.52626,23.54328,73.13522
1.441128,68.84565,23.762,73.81995
1.437162,70.12458,24.10062,74.50991
1.53565,71.42074,24.59693,75.35593
1.483832,72.80914,25.0559,76.35318
1.313531,74.25593,25.35234,77.38448
1.350208,75.56567,25.63776,78.53167
1.262451,76.7566,25.97567,79.52917
1.230331,77.82587,26.20668,80.52829
1.182846,79.04206,26.45392,81.40995
1.293417,80.35873,26.65699,82.41838
1.43209,81.70824,26.95314,83.19351
1.565934,83.18804,27.24341,84.00867
1.778693,84.95028,27.53872,84.91426
1.832576,86.56403,27.93242,85.89734
1.958308,88.09734,28.16672,86.9051
2.013226,89.17279,28.57249,88.01645
1.900956,90.3804,29.00269,88.9358
1.976776,91.80382,29.35152,90.01654
1.942533,93.14041,29.6851,90.99149
2.064632,94.3434,30.12045,92.09896
2.001075,95.48397,30.58348,93.09199
2.192392,96.86253,31.11399,94.33888
2.310712,98.55766,31.61393,95.62415
2.362311,99.99804,32.31498,96.89834
2.456297,101.5263,32.98647,98.12615
2.468528,103.14,33.707,99.47894
2.466484,104.7589,34.26431,100.6924
2.562199,106.5835,34.67291,101.9393
2.688143,108.3062,35.06903,103.1902
2.760905,110.0778,35.5659,104.5818
2.684251,111.7164,35.95576,106.12
2.796084,113.6841,36.40064,107.8556
2.842338,115.4986,36.71829,109.5334
2.957272,117.3471,37.1344,111.2368
3.109657,118.7614,37.46431,113.0898
3.35411,120.2514,37.86706,115.3107
3.562705,121.4785,38.06484,117.4067
3.711011,122.9871,38.34151,119.6399
3.779229,124.4469,38.76983,122.0613
3.873752,125.7368,39.21721,124.23
3.97186,127.0106,39.45569,126.3125
4.120864,128.4314,39.72311,128.3213
4.407995,129.5254,39.98981,130.3087
4.740877,130.8602,40.31923,132.1537
5.183635,131.8821,40.62693,134.158
5.696602,132.8312,40.90314,135.7984
6.020205,133.7813,41.17814,137.3988
6.294484,134.9583,41.57493,138.8555
6.550032,135.9751,42.1003,140.0019
7.067249,136.8712,42.53894,140.7253
7.607132,137.9269,42.82277,141.6392
